dataset,row,identity,local_index,lfw_index
enroll,0,Abdullah Gul,0,4112
enroll,1,Ciro Gomes,0,1198
enroll,2,Ricardo Sanchez,0,1249
enroll,3,Roger Moore,0,4573
enroll,4,Edmund Stoiber,0,2936
enroll,5,Carmen Electra,0,4126
enroll,6,Tung Chee-hwa,0,3558
enroll,7,Woody Allen,0,2601
enroll,8,Kim Dae-jung,0,3601
enroll,9,Lleyton Hewitt,0,214
enroll,10,Ben Affleck,0,2183
enroll,11,Jeremy Greenstock,0,4837
enroll,12,David Anderson,0,1024
enroll,13,John Stockton,0,3954
enroll,14,Zhu Rongji,0,5646
enroll,15,Mahmoud Abbas,0,4450
enroll,16,Gloria Macapagal Arroyo,0,5037
enroll,17,Steven Spielberg,0,4106
enroll,18,Norm Coleman,0,5408
enroll,19,Catherine Zeta-Jones,0,446
probe,0,Abdullah Gul,0,2753
probe,1,Abdullah Gul,1,5277
probe,2,Abdullah Gul,2,3089
probe,3,Abdullah Gul,3,5651
probe,4,Abdullah Gul,4,511
probe,5,Abdullah Gul,5,365
probe,6,Abdullah Gul,6,4581
probe,7,Abdullah Gul,7,2754
probe,8,Ciro Gomes,0,1523
probe,9,Ciro Gomes,1,4921
probe,10,Ciro Gomes,2,1611
probe,11,Ciro Gomes,3,5555
probe,12,Ricardo Sanchez,0,2325
probe,13,Ricardo Sanchez,1,1375
probe,14,Ricardo Sanchez,2,3354
probe,15,Ricardo Sanchez,3,2113
probe,16,Ricardo Sanchez,4,2738
probe,17,Roger Moore,0,4033
probe,18,Roger Moore,1,2546
probe,19,Roger Moore,2,5348
probe,20,Roger Moore,3,4409
probe,21,Edmund Stoiber,0,768
probe,22,Edmund Stoiber,1,2350
probe,23,Edmund Stoiber,2,230
probe,24,Edmund Stoiber,3,3934
probe,25,Edmund Stoiber,4,3456
probe,26,Edmund Stoiber,5,3267
probe,27,Edmund Stoiber,6,311
probe,28,Edmund Stoiber,7,3320
probe,29,Carmen Electra,0,1383
probe,30,Carmen Electra,1,5393
probe,31,Carmen Electra,2,479
probe,32,Carmen Electra,3,1457
probe,33,Carmen Electra,4,1128
probe,34,Tung Chee-hwa,0,2274
probe,35,Tung Chee-hwa,1,5778
probe,36,Tung Chee-hwa,2,2363
probe,37,Tung Chee-hwa,3,4287
probe,38,Tung Chee-hwa,4,713
probe,39,Tung Chee-hwa,5,64
probe,40,Tung Chee-hwa,6,3938
probe,41,Tung Chee-hwa,7,3775
probe,42,Woody Allen,0,3392
probe,43,Woody Allen,1,839
probe,44,Woody Allen,2,5560
probe,45,Woody Allen,3,4323
probe,46,Kim Dae-jung,0,942
probe,47,Kim Dae-jung,1,5866
probe,48,Kim Dae-jung,2,1670
probe,49,Kim Dae-jung,3,5149
probe,50,Kim Dae-jung,4,1966
probe,51,Kim Dae-jung,5,679
probe,52,Kim Dae-jung,6,5725
probe,53,Lleyton Hewitt,0,737
probe,54,Lleyton Hewitt,1,5576
probe,55,Lleyton Hewitt,2,3819
probe,56,Lleyton Hewitt,3,1483
probe,57,Lleyton Hewitt,4,3723
probe,58,Lleyton Hewitt,5,3901
probe,59,Lleyton Hewitt,6,4173
probe,60,Lleyton Hewitt,7,2903
