probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_name,model_short_name
0,Abdullah Gul,0,0,Abdullah Gul,0.38997552,0.38997552,True,True,True,False,False,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
1,Abdullah Gul,0,0,Abdullah Gul,0.45540276,0.45540276,True,True,True,False,False,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
2,Abdullah Gul,0,0,Abdullah Gul,0.41966927,0.41966927,True,True,True,False,False,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
3,Abdullah Gul,0,0,Abdullah Gul,0.5301654,0.5301654,True,True,True,False,False,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
4,Abdullah Gul,0,0,Abdullah Gul,0.59439653,0.59439653,True,True,True,False,False,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
5,Abdullah Gul,0,4,Ben Affleck,0.25258824,0.21545424,False,False,False,True,True,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
6,Abdullah Gul,0,68,Pierce Brosnan,0.23485172,0.22978407,False,False,False,True,True,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
7,Abdullah Gul,0,4,Ben Affleck,0.22949138,0.22101116,False,False,False,True,True,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
8,Ciro Gomes,15,15,Ciro Gomes,0.55740047,0.55740047,True,True,True,False,False,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
9,Ciro Gomes,15,15,Ciro Gomes,0.55310714,0.55310714,True,True,True,False,False,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
10,Ciro Gomes,15,15,Ciro Gomes,0.64406395,0.64406395,True,True,True,False,False,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
11,Ciro Gomes,15,15,Ciro Gomes,0.47163093,0.47163093,True,True,True,False,False,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.49632984,0.49632984,True,True,True,False,False,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.37952685,0.37952685,True,True,True,False,False,False,minchul/cvlface_adaface_ir50_webface4m,adaface_ir50_wf4m
