probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_name,model_short_name
0,Abdullah Gul,0,0,Abdullah Gul,0.31493405,0.31493405,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
1,Abdullah Gul,0,81,Shimon Peres,0.2558671,0.0771343,False,True,False,False,True,True,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
2,Abdullah Gul,0,0,Abdullah Gul,0.3870789,0.3870789,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
3,Abdullah Gul,0,0,Abdullah Gul,0.57340527,0.57340527,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
4,Abdullah Gul,0,0,Abdullah Gul,0.4800083,0.4800083,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
5,Abdullah Gul,0,0,Abdullah Gul,0.2714182,0.2714182,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
6,Abdullah Gul,0,0,Abdullah Gul,0.31274915,0.31274915,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
7,Abdullah Gul,0,0,Abdullah Gul,0.33592778,0.33592778,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
8,Ciro Gomes,15,15,Ciro Gomes,0.5980597,0.5980597,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
9,Ciro Gomes,15,15,Ciro Gomes,0.47721612,0.47721612,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
10,Ciro Gomes,15,15,Ciro Gomes,0.682969,0.682969,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
11,Ciro Gomes,15,15,Ciro Gomes,0.48994344,0.48994344,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.57817554,0.57817554,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.41123724,0.41123724,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.56734717,0.56734717,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.59390134,0.59390134,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.65392643,0.65392643,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
17,Roger Moore,76,76,Roger Moore,0.5977533,0.5977533,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
18,Roger Moore,76,76,Roger Moore,0.56952244,0.56952244,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
19,Roger Moore,76,76,Roger Moore,0.5196034,0.5196034,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
20,Roger Moore,76,76,Roger Moore,0.5642874,0.5642874,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
21,Edmund Stoiber,21,21,Edmund Stoiber,0.34904432,0.34904432,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
22,Edmund Stoiber,21,21,Edmund Stoiber,0.48206362,0.48206362,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
23,Edmund Stoiber,21,21,Edmund Stoiber,0.45818645,0.45818645,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
24,Edmund Stoiber,21,21,Edmund Stoiber,0.32157433,0.32157433,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
25,Edmund Stoiber,21,21,Edmund Stoiber,0.50466436,0.50466436,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
26,Edmund Stoiber,21,21,Edmund Stoiber,0.3096531,0.3096531,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
27,Edmund Stoiber,21,21,Edmund Stoiber,0.2449034,0.2449034,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
28,Edmund Stoiber,21,21,Edmund Stoiber,0.30989295,0.30989295,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
29,Carmen Electra,12,12,Carmen Electra,0.4054963,0.4054963,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
30,Carmen Electra,12,12,Carmen Electra,0.6163898,0.6163898,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
31,Carmen Electra,12,12,Carmen Electra,0.52992713,0.52992713,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
32,Carmen Electra,12,12,Carmen Electra,0.5539366,0.5539366,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
33,Carmen Electra,12,12,Carmen Electra,0.6200045,0.6200045,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
34,Tung Chee-hwa,92,92,Tung Chee-hwa,0.496867,0.496867,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
35,Tung Chee-hwa,92,92,Tung Chee-hwa,0.5320157,0.5320157,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
36,Tung Chee-hwa,92,92,Tung Chee-hwa,0.5674382,0.5674382,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
37,Tung Chee-hwa,92,92,Tung Chee-hwa,0.54326916,0.54326916,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
38,Tung Chee-hwa,92,92,Tung Chee-hwa,0.4491433,0.4491433,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
39,Tung Chee-hwa,92,92,Tung Chee-hwa,0.42982876,0.42982876,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
40,Tung Chee-hwa,92,92,Tung Chee-hwa,0.218964,0.218964,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
41,Tung Chee-hwa,92,92,Tung Chee-hwa,0.45799306,0.45799306,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
42,Woody Allen,96,96,Woody Allen,0.55071247,0.55071247,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
43,Woody Allen,96,96,Woody Allen,0.56642187,0.56642187,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
44,Woody Allen,96,96,Woody Allen,0.35389325,0.35389325,True,True,True,False,False,False,minchul/cvlface_arcface_ir101_webface4m,arcface_ir101_wf4m
