step,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
0,0.11486491560935974,0.11486491560935974,0.45083487033843994,-0.2792089879512787,0.0,0.22244802117347717,0.13504044711589813,0.45083487033843994,0.2792089879512787,0.16718919575214386,0.2836456894874573,0.46875,0.0,0.00013451707491185516
10,0.14997263252735138,0.14997263252735138,0.4724990129470825,-0.2816751301288605,0.0,0.2408238798379898,0.24796676635742188,0.4724990129470825,0.2816751301288605,0.1683250367641449,0.30417394638061523,0.59375,0.0,0.00013043453509453684
20,0.07278990745544434,0.07278990745544434,0.43388229608535767,-0.28165823221206665,0.0,0.20222407579421997,0.3103048801422119,0.43388229608535767,0.28165823221206665,0.1713387370109558,0.26254355907440186,0.625,0.0,8.58837811392732e-05
30,0.11208286881446838,0.11208286881446838,0.4542394280433655,-0.2821638286113739,0.0,0.2221710979938507,0.34554725885391235,0.4542394280433655,0.2821638286113739,0.178673654794693,0.2755657732486725,0.65625,0.0,9.984569624066353e-05
40,0.09725062549114227,0.09725062549114227,0.452930748462677,-0.28646737337112427,0.0,0.2172546237707138,0.371961385011673,0.452930748462677,0.28646737337112427,0.17613840103149414,0.27679234743118286,0.53125,0.0,8.36509425425902e-05
50,0.034628406167030334,0.034628406167030334,0.41904646158218384,-0.2853577136993408,0.0,0.18629737198352814,0.3959088921546936,0.41904646158218384,0.2853577136993408,0.16541621088981628,0.25363028049468994,0.5,0.03125,8.530898776371032e-05
60,0.05420909821987152,0.05420909821987152,0.4294118285179138,-0.28487151861190796,0.0,0.19454030692577362,0.41453543305397034,0.4294118285179138,0.28487151861190796,0.17638415098190308,0.25302767753601074,0.625,0.0,0.00010098675556946546
70,0.002792730927467346,0.002792730927467346,0.40203529596328735,-0.28497833013534546,0.0,0.1707140952348709,0.4345386028289795,0.40203529596328735,0.28497833013534546,0.17559760808944702,0.22643764317035675,0.625,0.03125,0.00012342915579210967
80,-0.0016161799430847168,-0.0016161799430847168,0.4026055932044983,-0.28678643703460693,0.0,0.16935110092163086,0.44849610328674316,0.4026055932044983,0.28678643703460693,0.17689403891563416,0.22571156919002533,0.53125,0.03125,0.00011033214104827493
90,0.020750224590301514,0.020750224590301514,0.40966370701789856,-0.28318771719932556,0.0,0.17746195197105408,0.4613954424858093,0.40966370701789856,0.28318771719932556,0.16632989048957825,0.2433338314294815,0.5625,0.0,0.00013174931518733501
100,0.005717039108276367,0.005717039108276367,0.3989587426185608,-0.28219741582870483,0.0,0.17115312814712524,0.46680748462677,0.3989587426185608,0.28219741582870483,0.16567395627498627,0.23328478634357452,0.46875,0.0,0.00015016789257060736
110,-0.0611359179019928,-0.0611359179019928,0.37413084506988525,-0.2887650430202484,0.0,0.14226332306861877,0.4757634997367859,0.37413084506988525,0.2887650430202484,0.18427947163581848,0.18985140323638916,0.59375,0.03125,0.00014831824228167534
120,0.0034503042697906494,0.0034503042697906494,0.40334293246269226,-0.28574302792549133,0.0,0.17159342765808105,0.48806053400039673,0.40334293246269226,0.28574302792549133,0.1740112155675888,0.22933173179626465,0.625,0.03125,0.0001342164759989828
130,-0.02625611424446106,-0.02625611424446106,0.39079388976097107,-0.2873256206512451,0.0,0.1576012372970581,0.49346837401390076,0.39079388976097107,0.2873256206512451,0.18192699551582336,0.2088669091463089,0.65625,0.03125,0.00018576401635073125
140,-0.1438044011592865,-0.1438044011592865,0.33702611923217773,-0.2948925793170929,0.0,0.10895463079214096,0.5042857527732849,0.33702611923217773,0.2948925793170929,0.1869114190340042,0.15011468529701233,0.75,0.15625,0.00015736068598926067
150,-0.11610227823257446,-0.11610227823257446,0.34025493264198303,-0.28839465975761414,0.0,0.12043210864067078,0.5091139078140259,0.34025493264198303,0.28839465975761414,0.18496212363243103,0.155292809009552,0.6875,0.15625,0.0001717400155030191
160,-0.07205787301063538,-0.07205787301063538,0.36783286929130554,-0.28980541229248047,0.0,0.13972008228302002,0.5176138877868652,0.36783286929130554,0.28980541229248047,0.18209972977638245,0.1857331395149231,0.65625,0.09375,0.00020762150234077126
170,-0.13234326243400574,-0.13234326243400574,0.3348202705383301,-0.2885885238647461,0.0,0.11001351475715637,0.5286048054695129,0.3348202705383301,0.2885885238647461,0.1813795119524002,0.15344077348709106,0.625,0.09375,0.00017290237883571535
