step,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
0,0.06088721752166748,0.06088721752166748,0.44797366857528687,-0.295343816280365,0.0,0.2036011815071106,0.13504044711589813,0.44797366857528687,0.295343816280365,0.19065913558006287,0.2573145627975464,0.625,0.0,0.00014894416381139308
10,0.043761029839515686,0.043761029839515686,0.4340605139732361,-0.2914533317089081,0.0,0.19260717928409576,0.23030313849449158,0.4340605139732361,0.2914533317089081,0.17478317022323608,0.25927734375,0.5,0.0,9.623821824789047e-05
20,0.07837848365306854,0.07837848365306854,0.44885557889938354,-0.289777547121048,0.0,0.20907799899578094,0.2811741232872009,0.44885557889938354,0.289777547121048,0.18688073754310608,0.2619748115539551,0.6875,0.0,0.0001306507328990847
30,0.02074335515499115,0.02074335515499115,0.41465067863464355,-0.28773438930511475,0.0,0.1815614551305771,0.32823312282562256,0.41465067863464355,0.28773438930511475,0.16852325201034546,0.2461274415254593,0.375,0.03125,0.00019691929628606886
40,-0.03878858685493469,-0.03878858685493469,0.3898841440677643,-0.29012954235076904,0.0,0.1515863537788391,0.3756643831729889,0.3898841440677643,0.29012954235076904,0.18267810344696045,0.20720604062080383,0.625,0.0625,0.00021797184308525175
50,-0.03289145231246948,-0.03289145231246948,0.38799092173576355,-0.28876879811286926,0.0,0.1566552221775055,0.4136650562286377,0.38799092173576355,0.28876879811286926,0.1722724437713623,0.21571847796440125,0.46875,0.03125,0.00016503393999300897
60,-0.07453089952468872,-0.07453089952468872,0.37271398305892944,-0.2940240204334259,0.0,0.14080315828323364,0.4380728602409363,0.37271398305892944,0.2940240204334259,0.1907077133655548,0.18200626969337463,0.6875,0.125,0.00010679067054297775
70,-0.1590551733970642,-0.1590551733970642,0.32723867893218994,-0.293374627828598,0.0,0.1004553958773613,0.46051180362701416,0.32723867893218994,0.293374627828598,0.1883205771446228,0.13891807198524475,0.75,0.09375,0.00014014089538250118
80,-0.06311267614364624,-0.06311267614364624,0.37359997630119324,-0.29275259375572205,0.0,0.14879253506660461,0.4724869728088379,0.37359997630119324,0.29275259375572205,0.1907631754875183,0.18283680081367493,0.75,0.09375,0.00017662723257672042
90,-0.11335894465446472,-0.11335894465446472,0.3560625910758972,-0.29448702931404114,0.0,0.11955252289772034,0.47960740327835083,0.3560625910758972,0.29448702931404114,0.18994106352329254,0.16612151265144348,0.59375,0.125,0.00017532403580844402
100,-0.09203186631202698,-0.09203186631202698,0.3521127998828888,-0.28660130500793457,0.0,0.12905794382095337,0.48695409297943115,0.3521127998828888,0.28660130500793457,0.18264076113700867,0.16947206854820251,0.625,0.09375,0.00019915527082048357
110,-0.13504712283611298,-0.13504712283611298,0.3337184488773346,-0.2890126705169678,0.0,0.10925976932048798,0.49000251293182373,0.3337184488773346,0.2890126705169678,0.17896400392055511,0.15475444495677948,0.53125,0.125,0.0001659690897213295
120,-0.1326487958431244,-0.1326487958431244,0.327571302652359,-0.2868495285511017,0.0,0.11347895115613937,0.49495506286621094,0.327571302652359,0.2868495285511017,0.17517974972724915,0.15239155292510986,0.65625,0.15625,0.0001388153905281797
130,-0.1899118423461914,-0.1899118423461914,0.31029683351516724,-0.29255035519599915,0.0,0.08489203453063965,0.49800989031791687,0.31029683351516724,0.29255035519599915,0.18041732907295227,0.12987950444221497,0.625,0.15625,0.00021338155784178525
140,-0.21611005067825317,-0.21611005067825317,0.2887159585952759,-0.2884300947189331,0.0,0.07203417271375656,0.5003812313079834,0.2887159585952759,0.2884300947189331,0.1784476786851883,0.11026827991008759,0.53125,0.21875,0.0002125837345374748
150,-0.1939147263765335,-0.1939147263765335,0.30136024951934814,-0.2901751399040222,0.0,0.08507530391216278,0.49974098801612854,0.30136024951934814,0.2901751399040222,0.17934954166412354,0.12201070040464401,0.625,0.1875,0.00020526522712316364
160,-0.1804186999797821,-0.1804186999797821,0.3057026267051697,-0.2877112329006195,0.0,0.08930113911628723,0.4974935054779053,0.3057026267051697,0.2877112329006195,0.17077778279781342,0.13492485880851746,0.53125,0.21875,0.0002084477455355227
170,-0.2113802284002304,-0.2113802284002304,0.294362336397171,-0.29176008701324463,0.0,0.07777760922908783,0.49648475646972656,0.294362336397171,0.29176008701324463,0.1848422735929489,0.1095200926065445,0.6333333849906921,0.20000001788139343,0.00018293749599251896
180,-0.24204427003860474,-0.24204427003860474,0.26199084520339966,-0.28508925437927246,0.0,0.06614339351654053,0.4939275085926056,0.26199084520339966,0.28508925437927246,0.17294926941394806,0.08904159814119339,0.46875,0.25,0.0001989752781810239
190,-0.23260608315467834,-0.23260608315467834,0.27355870604515076,-0.28687578439712524,0.0,0.06758677959442139,0.4924622178077698,0.27355870604515076,0.28687578439712524,0.18211005628108978,0.09144866466522217,0.6875,0.21875,0.00020316732116043568
200,-0.2621588706970215,-0.2621588706970215,0.2518947720527649,-0.286798894405365,0.0,0.059544146060943604,0.4929194152355194,0.2518947720527649,0.286798894405365,0.18029621243476868,0.07159857451915741,0.5625,0.28125,0.0001870934065664187
210,-0.25459280610084534,-0.25459280610084534,0.27314767241477966,-0.29146164655685425,0.0,0.05518282204866409,0.4897405505180359,0.27314767241477966,0.29146164655685425,0.18852272629737854,0.08462495356798172,0.59375,0.15625,0.0001674616796663031
220,-0.2011033594608307,-0.2011033594608307,0.3012489676475525,-0.294700026512146,0.0,0.08704772591590881,0.48682209849357605,0.3012489676475525,0.294700026512146,0.18463125824928284,0.11661771684885025,0.5625,0.1875,0.000193187574041076
230,-0.28920042514801025,-0.28920042514801025,0.24915257096290588,-0.2902469336986542,0.0,0.04214085638523102,0.48508429527282715,0.24915257096290588,0.2902469336986542,0.18791186809539795,0.06124071776866913,0.71875,0.21875,0.0002293862635269761
240,-0.2646513283252716,-0.2646513283252716,0.2539573311805725,-0.28809869289398193,0.0,0.057588715106248856,0.4850449860095978,0.2539573311805725,0.28809869289398193,0.17802992463111877,0.07592739909887314,0.625,0.3125,0.00015184901712927967
250,-0.2595004439353943,-0.2595004439353943,0.25883421301841736,-0.2874903976917267,0.0,0.05664612725377083,0.4845953583717346,0.25883421301841736,0.2874903976917267,0.17055796086788177,0.08827626705169678,0.46875,0.1875,0.00018028465274255723
260,-0.25633472204208374,-0.25633472204208374,0.2566063404083252,-0.28814417123794556,0.0,0.06334726512432098,0.4874984920024872,0.2566063404083252,0.28814417123794556,0.18552640080451965,0.07107993960380554,0.625,0.40625,0.0001850864791776985
270,-0.28374820947647095,-0.28374820947647095,0.2359694391489029,-0.284793496131897,0.0,0.049869365990161896,0.4885418117046356,0.2359694391489029,0.284793496131897,0.17143476009368896,0.06453469395637512,0.53125,0.34375,0.0001622654526727274
280,-0.27961933612823486,-0.27961933612823486,0.23955410718917847,-0.2877492308616638,0.0,0.0563250333070755,0.4932563304901123,0.23955410718917847,0.2877492308616638,0.18704724311828613,0.05250684916973114,0.625,0.3125,0.00016311446961481124
290,-0.3149760663509369,-0.3149760663509369,0.22841474413871765,-0.2929716110229492,0.0,0.0425524041056633,0.4958042502403259,0.22841474413871765,0.2929716110229492,0.1879774034023285,0.04043734073638916,0.625,0.40625,0.00014097850362304598
300,-0.17980985343456268,-0.17980985343456268,0.29807859659194946,-0.28627175092697144,0.0,0.09465505182743073,0.4997904300689697,0.29807859659194946,0.28627175092697144,0.17215809226036072,0.12592050433158875,0.53125,0.21875,0.00014997483231127262
310,-0.28681081533432007,-0.28681081533432007,0.23154279589653015,-0.2846998870372772,0.0,0.05104614794254303,0.5000263452529907,0.23154279589653015,0.2846998870372772,0.169885516166687,0.06165728718042374,0.40625,0.34375,0.00022197526413947344
320,-0.2367323637008667,-0.2367323637008667,0.2730679214000702,-0.28884148597717285,0.0,0.06788268685340881,0.4999362826347351,0.2730679214000702,0.28884148597717285,0.1825380176305771,0.0905299037694931,0.65625,0.25,0.0002012754266615957
330,-0.2310834527015686,-0.2310834527015686,0.2645709216594696,-0.285097599029541,0.0,0.07454082369804382,0.5031227469444275,0.2645709216594696,0.285097599029541,0.17015376687049866,0.09441715478897095,0.40625,0.3125,0.00017814153397921473
340,-0.24289456009864807,-0.24289456009864807,0.2644645571708679,-0.28602975606918335,0.0,0.06470039486885071,0.504246175289154,0.2644645571708679,0.28602975606918335,0.17480899393558502,0.0896555483341217,0.59375,0.25,0.00020171698997728527
350,-0.3177708685398102,-0.3177708685398102,0.21413087844848633,-0.28836965560913086,0.0,0.04483755677938461,0.5016176700592041,0.21413087844848633,0.28836965560913086,0.18541720509529114,0.02871367707848549,0.53125,0.53125,0.00019884132780134678
360,-0.2837567925453186,-0.2837567925453186,0.242197185754776,-0.2865646779537201,0.0,0.047175370156764984,0.5038480758666992,0.242197185754776,0.2865646779537201,0.17591823637485504,0.06627895683050156,0.5666667222976685,0.20000001788139343,0.00015923235332593322
370,-0.30025261640548706,-0.30025261640548706,0.22767077386379242,-0.28721508383750916,0.0,0.04650677740573883,0.506557822227478,0.22767077386379242,0.28721508383750916,0.18008364737033844,0.047587137669324875,0.5625,0.34375,0.00020014440815430135
380,-0.28684473037719727,-0.28684473037719727,0.24094422161579132,-0.288174569606781,0.0,0.04856020212173462,0.5091246366500854,0.24094422161579132,0.288174569606781,0.17698921263217926,0.06395499408245087,0.625,0.25,0.0001791300455806777
390,-0.2903566360473633,-0.2903566360473633,0.22984910011291504,-0.2840266823768616,0.0,0.04784763604402542,0.5108476877212524,0.22984910011291504,0.2840266823768616,0.16949817538261414,0.0603509247303009,0.5,0.375,0.0001492239534854889
400,-0.3022879958152771,-0.3022879958152771,0.23588812351226807,-0.28868287801742554,0.0,0.03918962925672531,0.512601375579834,0.23588812351226807,0.28868287801742554,0.18870581686496735,0.047182291746139526,0.6875,0.25,0.0001719126448733732
410,-0.2975892722606659,-0.2975892722606659,0.23632368445396423,-0.2889728546142578,0.0,0.044032756239175797,0.5147776007652283,0.23632368445396423,0.2889728546142578,0.1846761405467987,0.05164755880832672,0.5625,0.375,0.0001277055562241003
420,-0.2795933485031128,-0.2795933485031128,0.2509600520133972,-0.2892407178878784,0.0,0.04792802408337593,0.5153559446334839,0.2509600520133972,0.2892407178878784,0.1840347945690155,0.06692524999380112,0.6875,0.25,0.00015650750719942153
430,-0.3143361508846283,-0.3143361508846283,0.21525751054286957,-0.2871147394180298,0.0,0.04463580250740051,0.5189778804779053,0.21525751054286957,0.2871147394180298,0.1808490753173828,0.034408438950777054,0.5625,0.4375,0.000139146315632388
440,-0.244459867477417,-0.244459867477417,0.2745339870452881,-0.2909739911556244,0.0,0.0629541277885437,0.5210741758346558,0.2745339870452881,0.2909739911556244,0.18669986724853516,0.08783413469791412,0.5,0.25,0.00013013090938329697
450,-0.23994316160678864,-0.23994316160678864,0.25634297728538513,-0.28490257263183594,0.0,0.07351900637149811,0.522169828414917,0.25634297728538513,0.28490257263183594,0.17430609464645386,0.08203689008951187,0.4375,0.375,0.0001661365240579471
460,-0.2552376389503479,-0.2552376389503479,0.24661315977573395,-0.2861868441104889,0.0,0.07052291929721832,0.5255051255226135,0.24661315977573395,0.2861868441104889,0.1797911375761032,0.06682202219963074,0.59375,0.375,0.00016716589743737131
470,-0.2866595983505249,-0.2866595983505249,0.23400714993476868,-0.28951144218444824,0.0,0.05835612863302231,0.5294323563575745,0.23400714993476868,0.28951144218444824,0.18551121652126312,0.04849594086408615,0.6875,0.375,0.00012930358934681863
480,-0.28380075097084045,-0.28380075097084045,0.24298736453056335,-0.2889454662799835,0.0,0.05110282823443413,0.5312089920043945,0.24298736453056335,0.2889454662799835,0.17871910333633423,0.06426823884248734,0.59375,0.25,0.00023153837537392974
490,-0.2509389817714691,-0.2509389817714691,0.24781093001365662,-0.2815817594528198,0.0,0.06441360712051392,0.533500075340271,0.24781093001365662,0.2815817594528198,0.17545245587825775,0.07235848903656006,0.59375,0.28125,0.00018068835197482258
500,-0.3470439612865448,-0.3470439612865448,0.18736988306045532,-0.28376322984695435,0.0,0.033112626522779465,0.5354667901992798,0.18736988306045532,0.28376322984695435,0.1762056052684784,0.01116426195949316,0.5625,0.5625,0.0001522025850135833
