probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.2657514,0.2657514,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,0,0.04920122027397156
1,Abdullah Gul,0,0,Abdullah Gul,0.25235996,0.25235996,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,2,0.13466110825538635
2,Abdullah Gul,0,0,Abdullah Gul,0.379107,0.379107,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,3,0.1943521499633789
3,Abdullah Gul,0,78,Rubens Barrichello,0.20155418,0.12387423,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,4,0.35595016181468964
4,Abdullah Gul,0,0,Abdullah Gul,0.29088455,0.29088455,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,5,-0.019442379474639893
5,Abdullah Gul,0,0,Abdullah Gul,0.2189085,0.2189085,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,6,0.09383349120616913
6,Abdullah Gul,0,0,Abdullah Gul,0.28324765,0.28324765,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,7,0.05284950137138367
7,Ciro Gomes,15,15,Ciro Gomes,0.36226028,0.36226028,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,8,0.2358301281929016
8,Ciro Gomes,15,93,Victoria Clarke,0.2904625,0.08603345,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,9,0.3912218362092972
9,Ciro Gomes,15,93,Victoria Clarke,0.2234064,0.096758574,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,10,0.5862759649753571
10,Ciro Gomes,15,15,Ciro Gomes,0.36046895,0.36046895,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,11,0.1294485628604889
11,Ricardo Sanchez,72,72,Ricardo Sanchez,0.3571933,0.3571933,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,12,0.2210930585861206
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.15994881,0.15994881,True,False,False,True,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,13,0.25129981338977814
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.24835157,0.24835157,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,14,0.31896495819091797
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.48723102,0.48723102,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,15,0.10675609111785889
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.35312814,0.35312814,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,16,0.30079466104507446
16,Roger Moore,76,76,Roger Moore,0.4054521,0.4054521,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,17,0.1924143135547638
17,Roger Moore,76,76,Roger Moore,0.32081062,0.32081062,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,18,0.24874240159988403
18,Roger Moore,76,76,Roger Moore,0.23121963,0.23121963,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,19,0.2882743626832962
19,Roger Moore,76,76,Roger Moore,0.21009277,0.21009277,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,20,0.35426343977451324
20,Edmund Stoiber,21,96,Woody Allen,0.20532176,0.16750818,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,21,0.18161934614181519
21,Edmund Stoiber,21,21,Edmund Stoiber,0.42899734,0.42899734,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,22,0.0531156063079834
22,Edmund Stoiber,21,78,Rubens Barrichello,0.15398434,0.15209517,False,False,False,True,True,False,arcface_ir101_wf4m,adversarial_mascot_sticker,23,0.30615857243537903
23,Edmund Stoiber,21,93,Victoria Clarke,0.18077329,0.0010472182,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,24,0.32053095661103725
24,Edmund Stoiber,21,93,Victoria Clarke,0.2229473,0.03249349,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,25,0.47227267548441887
25,Edmund Stoiber,21,44,Justin Timberlake,0.18008302,0.0150504215,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,26,0.29463325906544924
26,Edmund Stoiber,21,21,Edmund Stoiber,0.23837644,0.23837644,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,27,0.006642460823059082
27,Edmund Stoiber,21,93,Victoria Clarke,0.15989484,0.0067954883,False,False,False,True,True,False,arcface_ir101_wf4m,adversarial_mascot_sticker,28,0.3030765727162361
28,Carmen Electra,12,12,Carmen Electra,0.2820714,0.2820714,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,29,0.12344381213188171
29,Carmen Electra,12,58,Michael Jackson,0.25434592,0.12710665,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,30,0.4892614036798477
30,Carmen Electra,12,12,Carmen Electra,0.2703931,0.2703931,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,31,0.25953009724617004
31,Carmen Electra,12,12,Carmen Electra,0.21123898,0.21123898,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,32,0.3427436947822571
32,Carmen Electra,12,12,Carmen Electra,0.28906977,0.28906977,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,33,0.3309710621833801
33,Tung Chee-hwa,92,92,Tung Chee-hwa,0.29481232,0.29481232,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,34,0.2019863724708557
34,Tung Chee-hwa,92,93,Victoria Clarke,0.20360297,0.052388307,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,35,0.47963643446564674
35,Tung Chee-hwa,92,92,Tung Chee-hwa,0.52957904,0.52957904,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,36,0.03791654109954834
36,Tung Chee-hwa,92,92,Tung Chee-hwa,0.36524695,0.36524695,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,37,0.17787057161331177
37,Tung Chee-hwa,92,92,Tung Chee-hwa,0.2647685,0.2647685,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,38,0.18438881635665894
38,Tung Chee-hwa,92,92,Tung Chee-hwa,0.40236306,0.40236306,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,39,0.02746233344078064
39,Tung Chee-hwa,92,83,Sourav Ganguly,0.13354161,-0.07632763,False,False,False,True,True,False,arcface_ir101_wf4m,adversarial_mascot_sticker,40,0.29534856230020523
40,Tung Chee-hwa,92,72,Ricardo Sanchez,0.12095617,0.06650939,False,False,False,True,True,False,arcface_ir101_wf4m,adversarial_mascot_sticker,41,0.3913792744278908
41,Woody Allen,96,96,Woody Allen,0.24079819,0.24079819,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,42,0.30994854867458344
42,Woody Allen,96,96,Woody Allen,0.2649821,0.2649821,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,43,0.30135130882263184
43,Woody Allen,96,96,Woody Allen,0.3626901,0.3626901,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,44,-0.008962035179138184
44,Woody Allen,96,96,Woody Allen,0.15408632,0.15408632,True,False,False,True,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,45,0.20160219073295593
45,Kim Dae-jung,46,46,Kim Dae-jung,0.4434787,0.4434787,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,46,0.09470713138580322
46,Kim Dae-jung,46,46,Kim Dae-jung,0.2576655,0.2576655,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,47,0.07986792922019958
47,Kim Dae-jung,46,46,Kim Dae-jung,0.2736039,0.2736039,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,48,0.2522306740283966
48,Kim Dae-jung,46,46,Kim Dae-jung,0.31345797,0.31345797,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,49,0.2835273742675781
49,Kim Dae-jung,46,93,Victoria Clarke,0.15769342,0.0676192,False,False,False,True,True,False,arcface_ir101_wf4m,adversarial_mascot_sticker,50,0.4425990656018257
50,Kim Dae-jung,46,46,Kim Dae-jung,0.4495558,0.4495558,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,51,-0.001906752586364746
51,Kim Dae-jung,46,46,Kim Dae-jung,0.2972883,0.2972883,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,52,0.2129051685333252
52,Lleyton Hewitt,51,51,Lleyton Hewitt,0.15217228,0.15217228,True,False,False,True,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,53,0.37121419608592987
53,Lleyton Hewitt,51,93,Victoria Clarke,0.15413207,0.14686286,False,False,False,True,True,False,arcface_ir101_wf4m,adversarial_mascot_sticker,54,0.31475698947906494
54,Lleyton Hewitt,51,51,Lleyton Hewitt,0.18378505,0.18378505,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,55,0.2621026337146759
55,Lleyton Hewitt,51,93,Victoria Clarke,0.2272864,0.13473558,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,56,0.35843294858932495
56,Lleyton Hewitt,51,93,Victoria Clarke,0.28104246,0.16722088,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,57,0.20946229994297028
57,Lleyton Hewitt,51,51,Lleyton Hewitt,0.36220723,0.36220723,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,58,0.21540707349777222
58,Lleyton Hewitt,51,12,Carmen Electra,0.17532632,0.027936388,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,59,0.3460341803729534
59,Lleyton Hewitt,51,51,Lleyton Hewitt,0.3024182,0.3024182,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,60,0.13714531064033508
60,Ben Affleck,4,93,Victoria Clarke,0.24049328,0.17096108,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,61,0.20319753885269165
61,Ben Affleck,4,4,Ben Affleck,0.24721065,0.24721065,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,62,0.04119306802749634
62,Ben Affleck,4,4,Ben Affleck,0.39759862,0.39759862,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,63,0.005460947751998901
63,Ben Affleck,4,4,Ben Affleck,0.46611598,0.46611598,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,64,0.06896534562110901
64,Ben Affleck,4,4,Ben Affleck,0.37482175,0.37482175,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,66,0.06234946846961975
65,Jeremy Greenstock,35,93,Victoria Clarke,0.1968498,0.052655146,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,67,0.6263023167848587
66,Jeremy Greenstock,35,35,Jeremy Greenstock,0.32083508,0.32083508,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,68,0.05036896467208862
67,Jeremy Greenstock,35,35,Jeremy Greenstock,0.26657218,0.26657218,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,69,0.4539009928703308
68,Jeremy Greenstock,35,35,Jeremy Greenstock,0.32538664,0.32538664,True,True,True,False,False,False,arcface_ir101_wf4m,adversarial_mascot_sticker,70,0.14665770530700684
69,Jeremy Greenstock,35,93,Victoria Clarke,0.25395715,-0.013417539,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,71,0.4665253134444356
70,Jeremy Greenstock,35,93,Victoria Clarke,0.1762022,0.09413987,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,72,0.42672688513994217
71,Jeremy Greenstock,35,93,Victoria Clarke,0.20906807,0.05232475,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,73,0.4003346487879753
72,Jeremy Greenstock,35,67,Peter Struck,0.18321368,0.09562992,False,True,False,False,True,True,arcface_ir101_wf4m,adversarial_mascot_sticker,74,0.251253642141819
73,David Anderson,19,30,Ian Thorpe,0.1422187,0.072411835,False,False,False,True,True,False,arcface_ir101_wf4m,adversarial_mascot_sticker,75,0.18039429187774658
