probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.45431715,0.45431715,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,0,0.14966541528701782
1,Abdullah Gul,0,0,Abdullah Gul,0.28047943,0.28047943,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,1,0.2829081416130066
2,Abdullah Gul,0,0,Abdullah Gul,0.38807213,0.38807213,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,2,0.20744770765304565
3,Abdullah Gul,0,0,Abdullah Gul,0.37179816,0.37179816,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,3,0.207863450050354
4,Abdullah Gul,0,0,Abdullah Gul,0.28340894,0.28340894,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,4,0.27375686168670654
5,Abdullah Gul,0,0,Abdullah Gul,0.3164835,0.3164835,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,5,0.06740158796310425
6,Abdullah Gul,0,0,Abdullah Gul,0.30537885,0.30537885,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,6,0.15388363599777222
7,Abdullah Gul,0,0,Abdullah Gul,0.40639448,0.40639448,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,7,0.1124606728553772
8,Ciro Gomes,15,15,Ciro Gomes,0.33607757,0.33607757,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,8,0.21899032592773438
9,Ciro Gomes,15,15,Ciro Gomes,0.41748255,0.41748255,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,9,0.13551682233810425
