probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.49249816,0.49249816,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,0,0.11148440837860107
1,Abdullah Gul,0,0,Abdullah Gul,0.44444138,0.44444138,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,1,0.11894619464874268
2,Abdullah Gul,0,0,Abdullah Gul,0.55359906,0.55359906,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,2,0.04192078113555908
3,Abdullah Gul,0,0,Abdullah Gul,0.50292647,0.50292647,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,3,0.07673513889312744
4,Abdullah Gul,0,0,Abdullah Gul,0.4809096,0.4809096,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,4,0.07625621557235718
5,Abdullah Gul,0,0,Abdullah Gul,0.3628005,0.3628005,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,5,0.021084576845169067
6,Abdullah Gul,0,0,Abdullah Gul,0.4497451,0.4497451,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,6,0.009517401456832886
7,Abdullah Gul,0,0,Abdullah Gul,0.43040603,0.43040603,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,7,0.08844912052154541
8,Ciro Gomes,15,15,Ciro Gomes,0.4282879,0.4282879,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,8,0.12678000330924988
9,Ciro Gomes,15,15,Ciro Gomes,0.35897067,0.35897067,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,9,0.19402870535850525
