probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.60219526,0.60219526,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,0,0.0017873048782348633
1,Abdullah Gul,0,0,Abdullah Gul,0.5264837,0.5264837,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,1,0.03690385818481445
2,Abdullah Gul,0,0,Abdullah Gul,0.57885194,0.57885194,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,2,0.01666790246963501
3,Abdullah Gul,0,0,Abdullah Gul,0.5535054,0.5535054,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,3,0.026156187057495117
4,Abdullah Gul,0,0,Abdullah Gul,0.5617813,0.5617813,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,4,-0.004615485668182373
5,Abdullah Gul,0,0,Abdullah Gul,0.3887605,0.3887605,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,5,-0.0048754215240478516
6,Abdullah Gul,0,0,Abdullah Gul,0.44952756,0.44952756,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,6,0.009734928607940674
7,Abdullah Gul,0,0,Abdullah Gul,0.5053803,0.5053803,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,7,0.013474881649017334
8,Ciro Gomes,15,15,Ciro Gomes,0.5225148,0.5225148,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,8,0.03255307674407959
9,Ciro Gomes,15,15,Ciro Gomes,0.5491934,0.5491934,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,9,0.003805994987487793
10,Ciro Gomes,15,15,Ciro Gomes,0.67887056,0.67887056,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,10,-0.004142642021179199
11,Ciro Gomes,15,15,Ciro Gomes,0.5469816,0.5469816,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,11,0.009863734245300293
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.62822455,0.62822455,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,12,-0.0207480788230896
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.502129,0.502129,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,13,-0.004112064838409424
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6474972,0.6474972,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,14,-0.033066749572753906
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.58821106,0.58821106,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,15,0.00440216064453125
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.7055286,0.7055286,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,16,0.007084846496582031
17,Roger Moore,76,76,Roger Moore,0.5797769,0.5797769,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,17,0.004797220230102539
18,Roger Moore,76,76,Roger Moore,0.54372203,0.54372203,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,18,-0.0018105506896972656
19,Roger Moore,76,76,Roger Moore,0.4749514,0.4749514,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,19,0.00853806734085083
20,Roger Moore,76,76,Roger Moore,0.5990942,0.5990942,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,20,-0.021386027336120605
21,Edmund Stoiber,21,21,Edmund Stoiber,0.37059325,0.37059325,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,21,0.006614029407501221
22,Edmund Stoiber,21,21,Edmund Stoiber,0.42217922,0.42217922,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,22,-0.01834288239479065
23,Edmund Stoiber,21,21,Edmund Stoiber,0.4753817,0.4753817,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,23,0.005373239517211914
24,Edmund Stoiber,21,21,Edmund Stoiber,0.39310914,0.39310914,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,24,0.002164185047149658
25,Edmund Stoiber,21,21,Edmund Stoiber,0.4648041,0.4648041,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,25,0.022823214530944824
26,Edmund Stoiber,21,21,Edmund Stoiber,0.34943312,0.34943312,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,26,0.012598693370819092
27,Edmund Stoiber,21,21,Edmund Stoiber,0.16316703,0.16316703,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,27,0.029001370072364807
28,Edmund Stoiber,21,21,Edmund Stoiber,0.3024791,0.3024791,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,28,-0.016153275966644287
29,Carmen Electra,12,12,Carmen Electra,0.37124985,0.37124985,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,29,0.006976485252380371
30,Carmen Electra,12,12,Carmen Electra,0.6337402,0.6337402,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,30,0.010107934474945068
31,Carmen Electra,12,12,Carmen Electra,0.51892066,0.51892066,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,left_cheek,0.3,34,31,0.015834152698516846
