probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.47092247,0.47092247,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,0,0.13306009769439697
1,Abdullah Gul,0,0,Abdullah Gul,0.5071182,0.5071182,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,1,0.05626934766769409
2,Abdullah Gul,0,0,Abdullah Gul,0.5411297,0.5411297,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,2,0.054390132427215576
3,Abdullah Gul,0,0,Abdullah Gul,0.41717055,0.41717055,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,3,0.1624910533428192
4,Abdullah Gul,0,0,Abdullah Gul,0.44649997,0.44649997,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,4,0.11066582798957825
5,Abdullah Gul,0,0,Abdullah Gul,0.32043964,0.32043964,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,5,0.06344544887542725
6,Abdullah Gul,0,0,Abdullah Gul,0.45558244,0.45558244,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,6,0.0036800503730773926
7,Abdullah Gul,0,0,Abdullah Gul,0.4577863,0.4577863,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,7,0.06106886267662048
8,Ciro Gomes,15,15,Ciro Gomes,0.42577624,0.42577624,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,8,0.12929165363311768
9,Ciro Gomes,15,15,Ciro Gomes,0.48002988,0.48002988,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,9,0.07296949625015259
10,Ciro Gomes,15,15,Ciro Gomes,0.66320926,0.66320926,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,10,0.011518657207489014
11,Ciro Gomes,15,15,Ciro Gomes,0.50009114,0.50009114,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,11,0.05675417184829712
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5674653,0.5674653,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,12,0.04001116752624512
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.46329337,0.46329337,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,13,0.03472357988357544
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.54357576,0.54357576,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,14,0.07085466384887695
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.50243735,0.50243735,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,15,0.09017586708068848
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.659261,0.659261,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,16,0.0533524751663208
17,Roger Moore,76,76,Roger Moore,0.5041493,0.5041493,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,17,0.08042478561401367
18,Roger Moore,76,76,Roger Moore,0.44341677,0.44341677,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,18,0.09849470853805542
19,Roger Moore,76,76,Roger Moore,0.45398167,0.45398167,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,19,0.02950778603553772
20,Roger Moore,76,76,Roger Moore,0.44336486,0.44336486,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,20,0.13434332609176636
21,Edmund Stoiber,21,21,Edmund Stoiber,0.3412676,0.3412676,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,21,0.035939693450927734
22,Edmund Stoiber,21,21,Edmund Stoiber,0.38787532,0.38787532,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,22,0.015961021184921265
23,Edmund Stoiber,21,21,Edmund Stoiber,0.45731628,0.45731628,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,23,0.02343866229057312
24,Edmund Stoiber,21,21,Edmund Stoiber,0.32687426,0.32687426,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,24,0.06839907169342041
25,Edmund Stoiber,21,21,Edmund Stoiber,0.4674666,0.4674666,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,25,0.0201607346534729
26,Edmund Stoiber,21,21,Edmund Stoiber,0.34579182,0.34579182,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,26,0.01624000072479248
27,Edmund Stoiber,21,21,Edmund Stoiber,0.21661629,0.21661629,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,27,-0.024447888135910034
