probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.3685047,0.3685047,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,0,0.23547786474227905
1,Abdullah Gul,0,0,Abdullah Gul,0.54986167,0.54986167,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,1,0.013525903224945068
2,Abdullah Gul,0,0,Abdullah Gul,0.5588878,0.5588878,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,2,0.03663206100463867
3,Abdullah Gul,0,0,Abdullah Gul,0.42499995,0.42499995,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,3,0.1546616554260254
4,Abdullah Gul,0,0,Abdullah Gul,0.4819275,0.4819275,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,4,0.07523828744888306
5,Abdullah Gul,0,0,Abdullah Gul,0.3633675,0.3633675,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,5,0.020517587661743164
6,Abdullah Gul,0,0,Abdullah Gul,0.20585872,0.20585872,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,6,0.25340376794338226
7,Abdullah Gul,0,0,Abdullah Gul,0.32726818,0.32726818,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,7,0.19158697128295898
8,Ciro Gomes,15,15,Ciro Gomes,0.53109133,0.53109133,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,8,0.023976564407348633
9,Ciro Gomes,15,15,Ciro Gomes,0.42531174,0.42531174,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,9,0.12768763303756714
10,Ciro Gomes,15,15,Ciro Gomes,0.30923516,0.30923516,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,10,0.3654927611351013
11,Ciro Gomes,15,15,Ciro Gomes,0.24369304,0.24369304,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,11,0.3131522685289383
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.58934295,0.58934295,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,12,0.01813352108001709
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.45463067,0.45463067,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,13,0.04338628053665161
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.53051496,0.53051496,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,14,0.08391547203063965
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.4407875,0.4407875,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,15,0.15182572603225708
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5342655,0.5342655,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,16,0.17834794521331787
17,Roger Moore,76,76,Roger Moore,0.5363128,0.5363128,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,17,0.048261284828186035
18,Roger Moore,76,76,Roger Moore,0.45855436,0.45855436,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,18,0.08335712552070618
19,Roger Moore,76,76,Roger Moore,0.3813845,0.3813845,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,19,0.10210496187210083
20,Roger Moore,76,76,Roger Moore,0.32305348,0.32305348,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,20,0.2546547055244446
21,Edmund Stoiber,21,21,Edmund Stoiber,0.26884055,0.26884055,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,21,0.10836672782897949
22,Edmund Stoiber,21,21,Edmund Stoiber,0.38521183,0.38521183,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,22,0.01862451434135437
23,Edmund Stoiber,21,21,Edmund Stoiber,0.4176414,0.4176414,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,23,0.06311354041099548
24,Edmund Stoiber,21,21,Edmund Stoiber,0.33528978,0.33528978,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,24,0.05998355150222778
25,Edmund Stoiber,21,21,Edmund Stoiber,0.4142453,0.4142453,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,25,0.07338201999664307
26,Edmund Stoiber,21,21,Edmund Stoiber,0.2842469,0.2842469,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,26,0.07778492569923401
27,Edmund Stoiber,21,21,Edmund Stoiber,0.19788164,0.19788164,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,27,-0.005713239312171936
28,Edmund Stoiber,21,21,Edmund Stoiber,0.1849438,0.1849438,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,28,0.10138201713562012
29,Carmen Electra,12,93,Victoria Clarke,0.24217823,0.1490001,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,29,0.2292262464761734
30,Carmen Electra,12,12,Carmen Electra,0.6476718,0.6476718,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,30,-0.003823697566986084
31,Carmen Electra,12,12,Carmen Electra,0.23357049,0.23357049,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,31,0.3011843264102936
32,Carmen Electra,12,68,Pierce Brosnan,0.16873518,0.12247687,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,32,0.4126940444111824
33,Carmen Electra,12,12,Carmen Electra,0.64460135,0.64460135,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,33,0.04960918426513672
34,Tung Chee-hwa,92,92,Tung Chee-hwa,0.3851925,0.3851925,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,34,0.031792283058166504
35,Tung Chee-hwa,92,92,Tung Chee-hwa,0.4563765,0.4563765,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,35,0.1492874026298523
36,Tung Chee-hwa,92,92,Tung Chee-hwa,0.50840324,0.50840324,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,36,0.010726690292358398
37,Tung Chee-hwa,92,92,Tung Chee-hwa,0.49962085,0.49962085,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,37,0.1362428069114685
38,Tung Chee-hwa,92,92,Tung Chee-hwa,0.4750501,0.4750501,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,38,0.012520521879196167
39,Tung Chee-hwa,92,92,Tung Chee-hwa,0.46100643,0.46100643,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,39,0.00782594084739685
40,Tung Chee-hwa,92,93,Victoria Clarke,0.23198175,0.069893606,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,40,0.26143693178892136
41,Tung Chee-hwa,92,92,Tung Chee-hwa,0.35872334,0.35872334,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,41,0.11806803941726685
42,Woody Allen,96,96,Woody Allen,0.4273405,0.4273405,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,42,0.21864330768585205
43,Woody Allen,96,96,Woody Allen,0.48666954,0.48666954,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,43,0.11147409677505493
44,Woody Allen,96,96,Woody Allen,0.30952802,0.30952802,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,44,0.005718261003494263
45,Woody Allen,96,96,Woody Allen,0.22390756,0.22390756,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,45,0.15352171659469604
46,Kim Dae-jung,46,46,Kim Dae-jung,0.25917926,0.25917926,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,46,0.34888413548469543
47,Kim Dae-jung,46,46,Kim Dae-jung,0.38606232,0.38606232,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,47,-0.011497288942337036
48,Kim Dae-jung,46,93,Victoria Clarke,0.18716647,0.119330704,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,48,0.5176188349723816
49,Kim Dae-jung,46,46,Kim Dae-jung,0.5534103,0.5534103,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,49,0.00861358642578125
50,Kim Dae-jung,46,46,Kim Dae-jung,0.42684227,0.42684227,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,50,0.1330755352973938
51,Kim Dae-jung,46,46,Kim Dae-jung,0.36488193,0.36488193,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,51,0.08323103189468384
52,Kim Dae-jung,46,46,Kim Dae-jung,0.5212057,0.5212057,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,52,-0.048854440450668335
53,Lleyton Hewitt,51,51,Lleyton Hewitt,0.28324428,0.28324428,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,53,0.149579256772995
54,Lleyton Hewitt,51,51,Lleyton Hewitt,0.19805615,0.19805615,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,54,0.280336394906044
55,Lleyton Hewitt,51,51,Lleyton Hewitt,0.46321273,0.46321273,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,55,0.006518274545669556
56,Lleyton Hewitt,51,51,Lleyton Hewitt,0.36089224,0.36089224,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,56,0.19853949546813965
57,Lleyton Hewitt,51,51,Lleyton Hewitt,0.21473244,0.21473244,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,57,0.11733821034431458
58,Lleyton Hewitt,51,51,Lleyton Hewitt,0.45489517,0.45489517,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,58,0.19211581349372864
