probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.5670961,0.5670961,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,0,0.03688645362854004
1,Abdullah Gul,0,0,Abdullah Gul,0.5780318,0.5780318,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,1,-0.014644205570220947
2,Abdullah Gul,0,0,Abdullah Gul,0.5791316,0.5791316,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,2,0.016388237476348877
3,Abdullah Gul,0,0,Abdullah Gul,0.5872899,0.5872899,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,3,-0.007628321647644043
4,Abdullah Gul,0,0,Abdullah Gul,0.5646796,0.5646796,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,4,-0.007513821125030518
5,Abdullah Gul,0,0,Abdullah Gul,0.36557034,0.36557034,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,5,0.018314749002456665
6,Abdullah Gul,0,0,Abdullah Gul,0.41719225,0.41719225,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,6,0.042070239782333374
7,Abdullah Gul,0,0,Abdullah Gul,0.46302935,0.46302935,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,7,0.05582579970359802
8,Ciro Gomes,15,15,Ciro Gomes,0.52163625,0.52163625,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,8,0.03343164920806885
9,Ciro Gomes,15,15,Ciro Gomes,0.5238888,0.5238888,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,9,0.02911055088043213
10,Ciro Gomes,15,15,Ciro Gomes,0.655854,0.655854,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,10,0.018873929977416992
11,Ciro Gomes,15,15,Ciro Gomes,0.48867717,0.48867717,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,11,0.06816813349723816
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6122879,0.6122879,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,12,-0.004811406135559082
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.49986207,0.49986207,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,13,-0.0018451213836669922
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6077695,0.6077695,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,14,0.006660938262939453
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.56814694,0.56814694,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,15,0.024466276168823242
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.70622927,0.70622927,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,16,0.0063841938972473145
17,Roger Moore,76,76,Roger Moore,0.5700717,0.5700717,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,17,0.014502406120300293
18,Roger Moore,76,76,Roger Moore,0.5765159,0.5765159,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,18,-0.034604430198669434
19,Roger Moore,76,76,Roger Moore,0.48242456,0.48242456,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,19,0.001064896583557129
20,Roger Moore,76,76,Roger Moore,0.5621301,0.5621301,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,20,0.015578091144561768
21,Edmund Stoiber,21,21,Edmund Stoiber,0.35999167,0.35999167,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,21,0.017215609550476074
22,Edmund Stoiber,21,21,Edmund Stoiber,0.39181095,0.39181095,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,22,0.012025386095046997
23,Edmund Stoiber,21,21,Edmund Stoiber,0.47536469,0.47536469,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,23,0.005390256643295288
24,Edmund Stoiber,21,21,Edmund Stoiber,0.37288606,0.37288606,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,24,0.022387266159057617
