probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.5810711,0.5810711,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,0,0.022911489009857178
1,Abdullah Gul,0,0,Abdullah Gul,0.5807691,0.5807691,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,1,-0.01738154888153076
2,Abdullah Gul,0,0,Abdullah Gul,0.590615,0.590615,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,2,0.0049048662185668945
3,Abdullah Gul,0,0,Abdullah Gul,0.54424703,0.54424703,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,3,0.03541457653045654
4,Abdullah Gul,0,0,Abdullah Gul,0.5563162,0.5563162,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,4,0.000849604606628418
5,Abdullah Gul,0,0,Abdullah Gul,0.36489856,0.36489856,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,5,0.018986523151397705
6,Abdullah Gul,0,0,Abdullah Gul,0.40388745,0.40388745,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,6,0.05537503957748413
7,Abdullah Gul,0,0,Abdullah Gul,0.4736147,0.4736147,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,7,0.04524046182632446
8,Ciro Gomes,15,15,Ciro Gomes,0.46665812,0.46665812,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,8,0.08840978145599365
9,Ciro Gomes,15,15,Ciro Gomes,0.5170532,0.5170532,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,9,0.03594619035720825
10,Ciro Gomes,15,15,Ciro Gomes,0.59937847,0.59937847,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,10,0.07534945011138916
11,Ciro Gomes,15,15,Ciro Gomes,0.47970685,0.47970685,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,11,0.07713845372200012
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5988225,0.5988225,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,12,0.008653998374938965
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.4908626,0.4908626,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,13,0.007154345512390137
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.60614777,0.60614777,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,under_eye,0.3,34,14,0.008282661437988281
