step,location,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
0,nose_bridge,0.17498159408569336,0.17498159408569336,0.4850742816925049,-0.2817533314228058,0.0,0.25341397523880005,0.13504044711589813,0.4850742816925049,0.2817533314228058,0.17139427363872528,0.3136800229549408,0.59375,0.0,0.0001741315209073946
10,nose_bridge,0.12525039911270142,0.12525039911270142,0.46517395973205566,-0.2850325107574463,0.0,0.23014146089553833,0.251506507396698,0.46517395973205566,0.2850325107574463,0.1771221160888672,0.2880518436431885,0.6875,0.0,0.00010666570597095415
20,nose_bridge,0.04338535666465759,0.04338535666465759,0.4227796196937561,-0.2847593128681183,0.0,0.19012436270713806,0.31743061542510986,0.4227796196937561,0.2847593128681183,0.17458806931972504,0.24819155037403107,0.5625,0.0,9.496996062807739e-05
30,nose_bridge,0.109953373670578,0.109953373670578,0.4581899046897888,-0.285475492477417,0.0,0.22271445393562317,0.36042463779449463,0.4581899046897888,0.285475492477417,0.17808184027671814,0.28010809421539307,0.65625,0.0,9.566539665684104e-05
40,nose_bridge,0.015574663877487183,0.015574663877487183,0.4050045609474182,-0.28222811222076416,0.0,0.1750263273715973,0.39143258333206177,0.4050045609474182,0.28222811222076416,0.16735467314720154,0.23764988780021667,0.59375,0.0,9.809093171497807e-05
50,nose_bridge,0.09669002890586853,0.09669002890586853,0.4453069567680359,-0.28130796551704407,0.0,0.21399900317192078,0.42120182514190674,0.4453069567680359,0.28130796551704407,0.16756057739257812,0.27774640917778015,0.5625,0.0,0.00010292443766957149
60,nose_bridge,0.041245102882385254,0.041245102882385254,0.42041194438934326,-0.28384506702423096,0.0,0.1885232925415039,0.4434391260147095,0.42041194438934326,0.28384506702423096,0.16799473762512207,0.2524172067642212,0.53125,0.03125,8.802446973277256e-05
70,nose_bridge,0.034368664026260376,0.034368664026260376,0.4153229594230652,-0.282140851020813,0.0,0.18332740664482117,0.45983219146728516,0.4153229594230652,0.282140851020813,0.16704899072647095,0.24827396869659424,0.59375,0.0,0.00010770562221296132
80,nose_bridge,0.0565008819103241,0.0565008819103241,0.4190791845321655,-0.28007662296295166,0.0,0.1975749433040619,0.4768667221069336,0.4190791845321655,0.28007662296295166,0.16534709930419922,0.2537320852279663,0.46875,0.09375,9.450754441786557e-05
90,nose_bridge,0.0702863335609436,0.0702863335609436,0.4399945139884949,-0.2865675687789917,0.0,0.20342695713043213,0.49223530292510986,0.4399945139884949,0.2865675687789917,0.1859552264213562,0.25403928756713867,0.75,0.0,0.00011821496445918456
100,nose_bridge,-0.06001909077167511,-0.06001909077167511,0.37471553683280945,-0.286598265171051,0.0,0.1384619027376175,0.5035895109176636,0.37471553683280945,0.286598265171051,0.17500454187393188,0.19971096515655518,0.6875,0.0,0.00015006544708739966
110,nose_bridge,0.06985512375831604,0.06985512375831604,0.4341403841972351,-0.2828085422515869,0.0,0.20133182406425476,0.513942539691925,0.4341403841972351,0.2828085422515869,0.1668982207775116,0.2672421336174011,0.5,0.0,0.0001454121811548248
120,nose_bridge,-0.020076900720596313,-0.020076900720596313,0.3986341655254364,-0.2933866083621979,0.0,0.16806215047836304,0.520498514175415,0.3986341655254364,0.2933866083621979,0.18889696896076202,0.20973719656467438,0.6875,0.0625,0.0002442279946990311
130,nose_bridge,-0.13621830940246582,-0.13621830940246582,0.33196479082107544,-0.2887941896915436,0.0,0.1094052791595459,0.5282055735588074,0.33196479082107544,0.2887941896915436,0.1948840469121933,0.13708078861236572,0.6875,0.1875,0.00019102171063423157
140,nose_bridge,-0.17207197844982147,-0.17207197844982147,0.31977254152297974,-0.295479953289032,0.0,0.09911538660526276,0.5358304381370544,0.31977254152297974,0.295479953289032,0.1929483264684677,0.12682420015335083,0.71875,0.21875,0.00021708302665501833
150,nose_bridge,-0.10357102751731873,-0.10357102751731873,0.3487626314163208,-0.29012078046798706,0.0,0.1279079020023346,0.539171040058136,0.3487626314163208,0.29012078046798706,0.1816781461238861,0.1670844852924347,0.65625,0.15625,0.0001912315929075703
160,nose_bridge,-0.15471991896629333,-0.15471991896629333,0.3243933320045471,-0.2944055199623108,0.0,0.10969778150320053,0.5419316291809082,0.3243933320045471,0.2944055199623108,0.19448193907737732,0.1299114227294922,0.65625,0.25,0.00014473176270257682
170,nose_bridge,-0.07194790244102478,-0.07194790244102478,0.3672175407409668,-0.29279446601867676,0.0,0.14642348885536194,0.5467223525047302,0.3672175407409668,0.29279446601867676,0.20042315125465393,0.16679441928863525,0.78125,0.09375,0.00016341169248335063
180,nose_bridge,-0.20806843042373657,-0.20806843042373657,0.29743319749832153,-0.29272955656051636,0.0,0.07995748519897461,0.5511088371276855,0.29743319749832153,0.29272955656051636,0.18502110242843628,0.11241206526756287,0.75,0.21875,0.0001723856694297865
190,nose_bridge,-0.14698687195777893,-0.14698687195777893,0.32985055446624756,-0.29390186071395874,0.0,0.11096629500389099,0.5560939311981201,0.32985055446624756,0.29390186071395874,0.19099602103233337,0.13885453343391418,0.75,0.15625,0.00027374381897971034
200,nose_bridge,-0.16848362982273102,-0.16848362982273102,0.306749165058136,-0.2886558175086975,0.0,0.10207884013652802,0.5574780702590942,0.306749165058136,0.2886558175086975,0.18302538990974426,0.12372376024723053,0.75,0.25,0.00017066173313651234
210,nose_bridge,-0.13753511011600494,-0.13753511011600494,0.32972288131713867,-0.29188135266304016,0.0,0.1165047138929367,0.5620810985565186,0.32972288131713867,0.29188135266304016,0.1904200315475464,0.13930287957191467,0.78125,0.15625,0.00020909879822283983
220,nose_bridge,-0.1281585395336151,-0.1281585395336151,0.32999566197395325,-0.28945448994636536,0.0,0.12075478583574295,0.5642864108085632,0.32999566197395325,0.28945448994636536,0.18215490877628326,0.1478407382965088,0.6875,0.25,0.00016226254228968173
230,nose_bridge,-0.19265076518058777,-0.19265076518058777,0.29473885893821716,-0.2888379693031311,0.0,0.09028630703687668,0.5691601037979126,0.29473885893821716,0.2888379693031311,0.18001854419708252,0.11472034454345703,0.71875,0.21875,0.00015221285866573453
240,nose_bridge,-0.18998584151268005,-0.18998584151268005,0.29583659768104553,-0.29014378786087036,0.0,0.09446512907743454,0.571739137172699,0.29583659768104553,0.29014378786087036,0.19358260929584503,0.1022539883852005,0.78125,0.25,0.00011883672414114699
250,nose_bridge,-0.16831572353839874,-0.16831572353839874,0.32315537333488464,-0.29268673062324524,0.0,0.09390236437320709,0.5708260536193848,0.32315537333488464,0.29268673062324524,0.18775203824043274,0.13540330529212952,0.78125,0.1875,0.00015104129852261394
260,nose_bridge,-0.18455974757671356,-0.18455974757671356,0.3021043837070465,-0.2888683080673218,0.0,0.09107248485088348,0.571616530418396,0.3021043837070465,0.2888683080673218,0.179465651512146,0.12263873219490051,0.625,0.1875,0.00013111000589560717
270,nose_bridge,-0.2978549897670746,-0.2978549897670746,0.23593179881572723,-0.2929546535015106,0.0,0.05212250351905823,0.5747659802436829,0.23593179881572723,0.2929546535015106,0.19155654311180115,0.044375255703926086,0.625,0.34375,0.00019332837837282568
280,nose_bridge,-0.1537594199180603,-0.1537594199180603,0.31994014978408813,-0.2922961711883545,0.0,0.11089277267456055,0.5755077004432678,0.31994014978408813,0.2922961711883545,0.1919197142124176,0.12802045047283173,0.8125,0.3125,0.00013831831165589392
290,nose_bridge,-0.16096131503582,-0.16096131503582,0.31714344024658203,-0.2924497127532959,0.0,0.10679467022418976,0.5782781839370728,0.31714344024658203,0.2924497127532959,0.1928548663854599,0.12428855895996094,0.75,0.25,0.00019210133177693933
300,nose_bridge,-0.23224425315856934,-0.23224425315856934,0.26033979654312134,-0.28651899099349976,0.0,0.08045393973588943,0.5820827484130859,0.26033979654312134,0.28651899099349976,0.1814597100019455,0.07888010889291763,0.625,0.4375,0.00016381418390665203
310,nose_bridge,-0.1640910506248474,-0.1640910506248474,0.3084089457988739,-0.2879886031150818,0.0,0.10347721725702286,0.5835056304931641,0.3084089457988739,0.2879886031150818,0.1832277923822403,0.1251811385154724,0.71875,0.21875,0.0001200163533212617
320,nose_bridge,-0.1952071636915207,-0.1952071636915207,0.2818024754524231,-0.28661245107650757,0.0,0.09621526300907135,0.5855801701545715,0.2818024754524231,0.28661245107650757,0.17117170989513397,0.11063076555728912,0.65625,0.3125,0.00022154193720780313
330,nose_bridge,-0.16945521533489227,-0.16945521533489227,0.30511564016342163,-0.2914794683456421,0.0,0.10838808119297028,0.5889711380004883,0.30511564016342163,0.2914794683456421,0.18693700432777405,0.1181786060333252,0.59375,0.28125,0.00010786500934045762
340,nose_bridge,-0.25024938583374023,-0.25024938583374023,0.2725430130958557,-0.2944778501987457,0.0,0.06616328656673431,0.5895533561706543,0.2725430130958557,0.2944778501987457,0.19305026531219482,0.07949274778366089,0.71875,0.3125,0.00016323348972946405
350,nose_bridge,-0.23725959658622742,-0.23725959658622742,0.27540773153305054,-0.29297149181365967,0.0,0.07327566295862198,0.5905346870422363,0.27540773153305054,0.29297149181365967,0.19805826246738434,0.07734948396682739,0.71875,0.3125,0.00017488737648818642
360,nose_bridge,-0.1743086576461792,-0.1743086576461792,0.2994201183319092,-0.288094162940979,0.0,0.10245954245328903,0.5939744710922241,0.2994201183319092,0.288094162940979,0.18103256821632385,0.11838753521442413,0.59375,0.3125,0.00017411858425475657
370,nose_bridge,-0.12304578721523285,-0.12304578721523285,0.3374842405319214,-0.29270750284194946,0.0,0.12488497793674469,0.5968958735466003,0.3374842405319214,0.29270750284194946,0.19733697175979614,0.14014726877212524,0.875,0.25,0.00013451511040329933
380,nose_bridge,-0.14965267479419708,-0.14965267479419708,0.33218586444854736,-0.2946740984916687,0.0,0.10750965774059296,0.5948796272277832,0.33218586444854736,0.2946740984916687,0.19076794385910034,0.1414179503917694,0.71875,0.125,0.000124309110105969
390,nose_bridge,-0.2662985324859619,-0.2662985324859619,0.2500106692314148,-0.29162347316741943,0.0,0.06693772971630096,0.5993857383728027,0.2500106692314148,0.29162347316741943,0.19374234974384308,0.05626830458641052,0.8125,0.46875,0.00021308411669451743
400,nose_bridge,-0.16733886301517487,-0.16733886301517487,0.305050253868103,-0.2893562912940979,0.0,0.10632346570491791,0.5987808704376221,0.305050253868103,0.2893562912940979,0.19376729428768158,0.11128295212984085,0.75,0.25,0.00019472275744192302
410,nose_bridge,-0.21350617706775665,-0.21350617706775665,0.27204644680023193,-0.289185106754303,0.0,0.09281758964061737,0.5991619825363159,0.27204644680023193,0.289185106754303,0.18325835466384888,0.08878811448812485,0.5625,0.375,0.00016307087207678705
420,nose_bridge,-0.1771748960018158,-0.1771748960018158,0.3079797029495239,-0.29299303889274597,0.0,0.10083148628473282,0.6029526591300964,0.3079797029495239,0.29299303889274597,0.19142858684062958,0.11655112355947495,0.71875,0.28125,0.0002021515101660043
430,nose_bridge,-0.17888055741786957,-0.17888055741786957,0.30554619431495667,-0.2909603416919708,0.0,0.09749393165111542,0.6034168601036072,0.30554619431495667,0.2909603416919708,0.18182799220085144,0.12371821701526642,0.625,0.25,0.00022048909158911556
440,nose_bridge,-0.20849186182022095,-0.20849186182022095,0.28769782185554504,-0.2877442538738251,0.0,0.07929881662130356,0.6070928573608398,0.28769782185554504,0.2877442538738251,0.18758293986320496,0.10011487454175949,0.75,0.25,0.0002228824159828946
450,nose_bridge,-0.27074140310287476,-0.27074140310287476,0.24519769847393036,-0.2930993437767029,0.0,0.07025956362485886,0.6071798801422119,0.24519769847393036,0.2930993437767029,0.18912220001220703,0.05607548728585243,0.6875,0.4375,9.538050653645769e-05
460,nose_bridge,-0.30200088024139404,-0.30200088024139404,0.22471149265766144,-0.2894260585308075,0.0,0.05213974416255951,0.6073006391525269,0.22471149265766144,0.2894260585308075,0.17742255330085754,0.04728894680738449,0.53125,0.46875,0.00016214487550314516
470,nose_bridge,-0.26507851481437683,-0.26507851481437683,0.2530543804168701,-0.28986620903015137,0.0,0.06159953027963638,0.6090261936187744,0.2530543804168701,0.28986620903015137,0.18200162053108215,0.07105275243520737,0.625,0.375,0.00022661643743049353
480,nose_bridge,-0.19472144544124603,-0.19472144544124603,0.28932109475135803,-0.28754329681396484,0.0,0.09104405343532562,0.6108348369598389,0.28932109475135803,0.28754329681396484,0.17988061904907227,0.10944046825170517,0.5625,0.25,0.00010350836964789778
490,nose_bridge,-0.2945482134819031,-0.2945482134819031,0.24101555347442627,-0.29373103380203247,0.0,0.05189831554889679,0.6094680428504944,0.24101555347442627,0.29373103380203247,0.18822060525417328,0.052794963121414185,0.71875,0.375,0.00015345611609518528
500,nose_bridge,-0.2778576612472534,-0.2778576612472534,0.23933148384094238,-0.2876091003417969,0.0,0.05802904814481735,0.6087660789489746,0.23933148384094238,0.2876091003417969,0.17762288451194763,0.06170859560370445,0.71875,0.40625,0.00013581440725829452
510,nose_bridge,-0.16284063458442688,-0.16284063458442688,0.31160324811935425,-0.28946128487586975,0.0,0.10447868704795837,0.6076958179473877,0.31160324811935425,0.28946128487586975,0.18097074329853058,0.13063253462314606,0.65625,0.1875,0.0002518103865440935
520,nose_bridge,-0.15093791484832764,-0.15093791484832764,0.3112258315086365,-0.28618714213371277,0.0,0.11021054536104202,0.6064639091491699,0.3112258315086365,0.28618714213371277,0.17493277788162231,0.13629305362701416,0.59375,0.3125,0.00017939024837687612
530,nose_bridge,-0.27534136176109314,-0.27534136176109314,0.24469119310379028,-0.2865283489227295,0.0,0.05302415043115616,0.6070575714111328,0.24469119310379028,0.2865283489227295,0.17332953214645386,0.07136167585849762,0.5625,0.3125,0.0002067539608106017
540,nose_bridge,-0.20239752531051636,-0.20239752531051636,0.2806641161441803,-0.2913980782032013,0.0,0.09973451495170593,0.6072944402694702,0.2806641161441803,0.2913980782032013,0.18239329755306244,0.09827081114053726,0.625,0.40625,0.0001619323156774044
550,nose_bridge,-0.29667821526527405,-0.29667821526527405,0.2437523603439331,-0.2947309613227844,0.0,0.049031343311071396,0.6076444387435913,0.2437523603439331,0.2947309613227844,0.1895400881767273,0.054212264716625214,0.65625,0.28125,0.00016575302288401872
560,nose_bridge,-0.23051831126213074,-0.23051831126213074,0.27761176228523254,-0.29167404770851135,0.0,0.07521801441907883,0.6062965393066406,0.27761176228523254,0.29167404770851135,0.18512454628944397,0.09248720854520798,0.75,0.28125,0.00016538634372409433
570,nose_bridge,-0.2074090540409088,-0.2074090540409088,0.28568917512893677,-0.2882636785507202,0.0,0.08342912793159485,0.6066470146179199,0.28568917512893677,0.2882636785507202,0.17780837416648865,0.10788080841302872,0.625,0.25,0.0001493774907430634
580,nose_bridge,-0.16322720050811768,-0.16322720050811768,0.30832868814468384,-0.2901708483695984,0.0,0.10878580063581467,0.6069146990776062,0.30832868814468384,0.2901708483695984,0.18839874863624573,0.11992994695901871,0.6875,0.3125,0.00022004498168826103
590,nose_bridge,-0.22109809517860413,-0.22109809517860413,0.2751914858818054,-0.28527888655662537,0.0,0.07426819205284119,0.6069493293762207,0.2751914858818054,0.28527888655662537,0.1680029332637787,0.10718855261802673,0.59375,0.21875,0.00020658993162214756
600,nose_bridge,-0.288832426071167,-0.288832426071167,0.2422007918357849,-0.2930891811847687,0.0,0.055145151913166046,0.6052700281143188,0.2422007918357849,0.2930891811847687,0.1906471997499466,0.051553599536418915,0.78125,0.4375,0.00033658480970188975
610,nose_bridge,-0.1798011064529419,-0.1798011064529419,0.298270046710968,-0.2870795726776123,0.0,0.0960879847407341,0.6046099066734314,0.298270046710968,0.2870795726776123,0.17452305555343628,0.12374700605869293,0.59375,0.25,0.0001733110984787345
620,nose_bridge,-0.2513374388217926,-0.2513374388217926,0.27583473920822144,-0.2992972731590271,0.0,0.07142236828804016,0.6027072668075562,0.27583473920822144,0.2992972731590271,0.20288746058940887,0.07294726371765137,0.9375,0.28125,0.00016358554421458393
630,nose_bridge,-0.2191758155822754,-0.2191758155822754,0.28499478101730347,-0.2925211489200592,0.0,0.08087170124053955,0.6009410619735718,0.28499478101730347,0.2925211489200592,0.18951281905174255,0.09548195451498032,0.625,0.25,0.0001383541530231014
640,nose_bridge,-0.32069775462150574,-0.32069775462150574,0.22478890419006348,-0.2945924997329712,0.0,0.043698348104953766,0.6014012098312378,0.22478890419006348,0.2945924997329712,0.19168420135974884,0.03310471028089523,0.75,0.46875,0.000155126370373182
650,nose_bridge,-0.24080173671245575,-0.24080173671245575,0.24989496171474457,-0.2841585874557495,0.0,0.07762046158313751,0.6005898118019104,0.24989496171474457,0.2841585874557495,0.1676730215549469,0.08222194015979767,0.6875,0.4375,0.0001557697105454281
660,nose_bridge,-0.2245469093322754,-0.2245469093322754,0.27498292922973633,-0.29655885696411133,0.0,0.09358788281679153,0.6004945039749146,0.27498292922973633,0.29655885696411133,0.20151346921920776,0.07346946001052856,0.8125,0.40625,0.0001693189115030691
