step,location,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
0,under_eye,0.18182355165481567,0.18182355165481567,0.503268837928772,-0.29168036580085754,0.0,0.2619154453277588,0.13504044711589813,0.503268837928772,0.29168036580085754,0.18705835938453674,0.31621047854423523,0.65625,0.0,0.00015388915198855102
10,under_eye,0.11098358035087585,0.11098358035087585,0.4482816457748413,-0.27852657437324524,0.0,0.21975508332252502,0.25533854961395264,0.4482816457748413,0.27852657437324524,0.16416506469249725,0.28411659598350525,0.5,0.0,9.549267997499555e-05
20,under_eye,0.15366043150424957,0.15366043150424957,0.4723948836326599,-0.2803764343261719,0.0,0.2420184165239334,0.31614506244659424,0.4723948836326599,0.2803764343261719,0.16549640893936157,0.30689844489097595,0.5,0.0,8.453740883851424e-05
30,under_eye,0.1302964687347412,0.1302964687347412,0.46256884932518005,-0.28193190693855286,0.0,0.23159143328666687,0.3530397415161133,0.46256884932518005,0.28193190693855286,0.17061617970466614,0.2919526696205139,0.59375,0.0,8.18488624645397e-05
40,under_eye,0.033761441707611084,0.033761441707611084,0.4200168251991272,-0.2860841453075409,0.0,0.18591290712356567,0.3820773959159851,0.4200168251991272,0.2860841453075409,0.1753310114145279,0.2446857988834381,0.65625,0.03125,9.802741988096386e-05
50,under_eye,0.036150917410850525,0.036150917410850525,0.41858187317848206,-0.2840235233306885,0.0,0.18561609089374542,0.40642255544662476,0.41858187317848206,0.2840235233306885,0.1731134057044983,0.24546846747398376,0.625,0.0,8.721977064851671e-05
60,under_eye,0.051392555236816406,0.051392555236816406,0.42444026470184326,-0.28302139043807983,0.0,0.1929950714111328,0.4293791949748993,0.42444026470184326,0.28302139043807983,0.17002153396606445,0.2544187009334564,0.53125,0.0,8.238184818765149e-05
70,under_eye,0.08030319213867188,0.08030319213867188,0.4362935423851013,-0.28230130672454834,0.0,0.20861226320266724,0.44974690675735474,0.4362935423851013,0.28230130672454834,0.17205438017845154,0.2642391324043274,0.53125,0.0625,9.47884691413492e-05
80,under_eye,0.04102928936481476,0.04102928936481476,0.42083531618118286,-0.28372758626937866,0.0,0.18764914572238922,0.46498948335647583,0.42083531618118286,0.28372758626937866,0.17254512012004852,0.24829018115997314,0.5,0.0,0.0001236370881088078
90,under_eye,0.07114866375923157,0.07114866375923157,0.433716356754303,-0.2832832336425781,0.0,0.20399877429008484,0.47660037875175476,0.433716356754303,0.2832832336425781,0.1749933660030365,0.2587229609489441,0.59375,0.03125,0.00010638723324518651
100,under_eye,-0.005049377679824829,-0.005049377679824829,0.39689749479293823,-0.2863283157348633,0.0,0.1707097589969635,0.4870787262916565,0.39689749479293823,0.2863283157348633,0.17712858319282532,0.21976891160011292,0.59375,0.03125,0.00011351018474670127
110,under_eye,-0.041373610496520996,-0.041373610496520996,0.3820764720439911,-0.28710275888442993,0.0,0.15075543522834778,0.4978106617927551,0.3820764720439911,0.28710275888442993,0.17715157568454742,0.20492489635944366,0.65625,0.0625,0.00011796149192377925
120,under_eye,-0.04023261368274689,-0.04023261368274689,0.37313365936279297,-0.28005722165107727,0.0,0.14674817025661469,0.5053867697715759,0.37313365936279297,0.28005722165107727,0.16692404448986053,0.20620961487293243,0.5,0.03125,0.00011668732622638345
130,under_eye,0.07483282685279846,0.07483282685279846,0.4366818964481354,-0.28399279713630676,0.0,0.2061365246772766,0.5111159086227417,0.4366818964481354,0.28399279713630676,0.17938104271888733,0.25730085372924805,0.625,0.03125,0.0001074415777111426
140,under_eye,-0.016702800989151,-0.016702800989151,0.3926878571510315,-0.28561630845069885,0.0,0.1618419587612152,0.5126702785491943,0.3926878571510315,0.28561630845069885,0.17987555265426636,0.21281230449676514,0.75,0.03125,0.0001523809478385374
150,under_eye,-0.06992016732692719,-0.06992016732692719,0.3697376549243927,-0.2892518937587738,0.0,0.13884596526622772,0.514811098575592,0.3697376549243927,0.2892518937587738,0.17924226820468903,0.19049538671970367,0.625,0.0625,0.0002428559382678941
160,under_eye,-0.15994274616241455,-0.15994274616241455,0.3207927942276001,-0.28764212131500244,0.0,0.09454870969057083,0.516880214214325,0.3207927942276001,0.28764212131500244,0.17301005125045776,0.14778268337249756,0.59375,0.09375,0.00018010821077041328
170,under_eye,-0.11490418016910553,-0.11490418016910553,0.3456672132015228,-0.28668129444122314,0.0,0.11279119551181793,0.5158340930938721,0.3456672132015228,0.28668129444122314,0.18267348408699036,0.16299372911453247,0.65625,0.0,0.0001887789840111509
180,under_eye,-0.1271790713071823,-0.1271790713071823,0.3367612659931183,-0.28880664706230164,0.0,0.11367295682430267,0.5140682458877563,0.3367612659931183,0.28880664706230164,0.18145403265953064,0.15530720353126526,0.59375,0.15625,0.00029276078566908836
190,under_eye,-0.10154876112937927,-0.10154876112937927,0.34759092330932617,-0.28771454095840454,0.0,0.12628939747810364,0.5160665512084961,0.34759092330932617,0.28771454095840454,0.18101371824741364,0.16657721996307373,0.59375,0.09375,0.00017673580441623926
