probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.6095619,0.6095619,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,0,-0.005579352378845215
1,Abdullah Gul,0,0,Abdullah Gul,0.5121521,0.5121521,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,1,0.05123549699783325
2,Abdullah Gul,0,0,Abdullah Gul,0.59135485,0.59135485,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,2,0.004164993762969971
3,Abdullah Gul,0,0,Abdullah Gul,0.5324136,0.5324136,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,3,0.047248005867004395
4,Abdullah Gul,0,0,Abdullah Gul,0.4704007,0.4704007,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,4,0.0867651104927063
5,Abdullah Gul,0,0,Abdullah Gul,0.38879752,0.38879752,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,5,-0.004912436008453369
6,Abdullah Gul,0,0,Abdullah Gul,0.4388829,0.4388829,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,6,0.020379602909088135
7,Abdullah Gul,0,0,Abdullah Gul,0.5137376,0.5137376,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,7,0.005117535591125488
8,Ciro Gomes,15,15,Ciro Gomes,0.5407007,0.5407007,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,8,0.014367222785949707
9,Ciro Gomes,15,15,Ciro Gomes,0.5397156,0.5397156,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,9,0.013283789157867432
10,Ciro Gomes,15,15,Ciro Gomes,0.66768014,0.66768014,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,10,0.007047772407531738
11,Ciro Gomes,15,15,Ciro Gomes,0.53735983,0.53735983,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,11,0.0194854736328125
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5846169,0.5846169,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,12,0.022859573364257812
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.47768378,0.47768378,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,13,0.020333170890808105
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5932151,0.5932151,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,14,0.021215319633483887
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5675107,0.5675107,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,15,0.02510249614715576
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6578237,0.6578237,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,16,0.05478978157043457
17,Roger Moore,76,76,Roger Moore,0.5519006,0.5519006,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,17,0.03267347812652588
18,Roger Moore,76,76,Roger Moore,0.5083183,0.5083183,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,18,0.033593177795410156
19,Roger Moore,76,76,Roger Moore,0.44191056,0.44191056,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,19,0.04157888889312744
20,Roger Moore,76,76,Roger Moore,0.5558924,0.5558924,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,20,0.021815776824951172
21,Edmund Stoiber,21,21,Edmund Stoiber,0.32194474,0.32194474,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,chin,0.3,34,21,0.05526253581047058
