probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.50442135,0.50442135,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,0,0.09956121444702148
1,Abdullah Gul,0,0,Abdullah Gul,0.44414866,0.44414866,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,1,0.11923891305923462
2,Abdullah Gul,0,0,Abdullah Gul,0.5463574,0.5463574,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,2,0.049162447452545166
3,Abdullah Gul,0,0,Abdullah Gul,0.46025348,0.46025348,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,3,0.11940813064575195
4,Abdullah Gul,0,0,Abdullah Gul,0.4430308,0.4430308,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,4,0.11413499712944031
5,Abdullah Gul,0,0,Abdullah Gul,0.36497456,0.36497456,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,5,0.018910527229309082
6,Abdullah Gul,0,0,Abdullah Gul,0.4057641,0.4057641,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,6,0.05349838733673096
7,Abdullah Gul,0,0,Abdullah Gul,0.44437236,0.44437236,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,7,0.07448279857635498
8,Ciro Gomes,15,15,Ciro Gomes,0.4112386,0.4112386,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,8,0.14382928609848022
9,Ciro Gomes,15,15,Ciro Gomes,0.36915988,0.36915988,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,9,0.18383949995040894
10,Ciro Gomes,15,15,Ciro Gomes,0.5629084,0.5629084,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,10,0.11181950569152832
11,Ciro Gomes,15,15,Ciro Gomes,0.40491405,0.40491405,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,11,0.1519312560558319
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.53009176,0.53009176,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,forehead,0.3,34,12,0.07738471031188965
