probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.60281754,0.60281754,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,0,0.0011650323867797852
1,Abdullah Gul,0,0,Abdullah Gul,0.58540595,0.58540595,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,1,-0.022018373012542725
2,Abdullah Gul,0,0,Abdullah Gul,0.5850377,0.5850377,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,2,0.01048213243484497
3,Abdullah Gul,0,0,Abdullah Gul,0.58198845,0.58198845,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,3,-0.0023268461227416992
4,Abdullah Gul,0,0,Abdullah Gul,0.5752495,0.5752495,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,4,-0.018083691596984863
5,Abdullah Gul,0,0,Abdullah Gul,0.39843315,0.39843315,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,5,-0.014548063278198242
6,Abdullah Gul,0,0,Abdullah Gul,0.47451654,0.47451654,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,6,-0.015254050493240356
7,Abdullah Gul,0,0,Abdullah Gul,0.49294215,0.49294215,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,7,0.025913000106811523
8,Ciro Gomes,15,15,Ciro Gomes,0.53638995,0.53638995,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,8,0.018677949905395508
9,Ciro Gomes,15,15,Ciro Gomes,0.53078896,0.53078896,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,9,0.022210419178009033
10,Ciro Gomes,15,15,Ciro Gomes,0.6666678,0.6666678,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,10,0.008060097694396973
11,Ciro Gomes,15,15,Ciro Gomes,0.5189514,0.5189514,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,11,0.03789389133453369
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5964985,0.5964985,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,12,0.010977983474731445
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.48576275,0.48576275,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,13,0.012254208326339722
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.59013516,0.59013516,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,14,0.024295270442962646
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.57683575,0.57683575,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,15,0.01577746868133545
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6813567,0.6813567,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,16,0.03125673532485962
17,Roger Moore,76,76,Roger Moore,0.5803754,0.5803754,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,17,0.004198729991912842
18,Roger Moore,76,76,Roger Moore,0.5144041,0.5144041,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,18,0.027507364749908447
19,Roger Moore,76,76,Roger Moore,0.48158652,0.48158652,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,19,0.001902937889099121
20,Roger Moore,76,76,Roger Moore,0.59917444,0.59917444,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,20,-0.02146625518798828
21,Edmund Stoiber,21,21,Edmund Stoiber,0.41271162,0.41271162,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,21,-0.03550434112548828
22,Edmund Stoiber,21,21,Edmund Stoiber,0.41274107,0.41274107,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,22,-0.008904725313186646
23,Edmund Stoiber,21,21,Edmund Stoiber,0.48843592,0.48843592,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,23,-0.007680982351303101
24,Edmund Stoiber,21,21,Edmund Stoiber,0.41569597,0.41569597,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,24,-0.020422637462615967
25,Edmund Stoiber,21,21,Edmund Stoiber,0.4309346,0.4309346,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,25,0.05669271945953369
26,Edmund Stoiber,21,21,Edmund Stoiber,0.43272346,0.43272346,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,26,-0.07069164514541626
27,Edmund Stoiber,21,21,Edmund Stoiber,0.24495998,0.24495998,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,27,-0.05279158055782318
28,Edmund Stoiber,21,21,Edmund Stoiber,0.29093486,0.29093486,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,28,-0.004609048366546631
29,Carmen Electra,12,12,Carmen Electra,0.3304248,0.3304248,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,29,0.04780155420303345
30,Carmen Electra,12,12,Carmen Electra,0.6409946,0.6409946,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,30,0.0028535127639770508
31,Carmen Electra,12,12,Carmen Electra,0.5351881,0.5351881,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,31,-0.00043326616287231445
32,Carmen Electra,12,12,Carmen Electra,0.5241522,0.5241522,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,32,0.011018693447113037
33,Carmen Electra,12,12,Carmen Electra,0.659274,0.659274,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,33,0.03493654727935791
34,Tung Chee-hwa,92,92,Tung Chee-hwa,0.4611374,0.4611374,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,34,-0.04415261745452881
35,Tung Chee-hwa,92,92,Tung Chee-hwa,0.55747676,0.55747676,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,35,0.04818713665008545
36,Tung Chee-hwa,92,92,Tung Chee-hwa,0.5186429,0.5186429,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,36,0.0004870295524597168
37,Tung Chee-hwa,92,92,Tung Chee-hwa,0.63807386,0.63807386,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,37,-0.0022101998329162598
38,Tung Chee-hwa,92,92,Tung Chee-hwa,0.5029841,0.5029841,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,38,-0.015413492918014526
39,Tung Chee-hwa,92,92,Tung Chee-hwa,0.44497955,0.44497955,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,39,0.023852825164794922
40,Tung Chee-hwa,92,92,Tung Chee-hwa,0.33108476,0.33108476,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,40,0.00024577975273132324
41,Tung Chee-hwa,92,92,Tung Chee-hwa,0.4470267,0.4470267,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,41,0.029764682054519653
42,Woody Allen,96,96,Woody Allen,0.6267494,0.6267494,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,42,0.019234418869018555
43,Woody Allen,96,96,Woody Allen,0.57417786,0.57417786,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,43,0.023965775966644287
44,Woody Allen,96,96,Woody Allen,0.29913595,0.29913595,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,44,0.016110330820083618
45,Woody Allen,96,96,Woody Allen,0.32526413,0.32526413,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,45,0.05216515064239502
46,Kim Dae-jung,46,46,Kim Dae-jung,0.59970015,0.59970015,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,46,0.00836324691772461
47,Kim Dae-jung,46,46,Kim Dae-jung,0.39485747,0.39485747,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,47,-0.020292431116104126
48,Kim Dae-jung,46,46,Kim Dae-jung,0.6240579,0.6240579,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,48,0.012891650199890137
49,Kim Dae-jung,46,46,Kim Dae-jung,0.5598259,0.5598259,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,49,0.0021979808807373047
50,Kim Dae-jung,46,46,Kim Dae-jung,0.5787219,0.5787219,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,50,-0.018804073333740234
51,Kim Dae-jung,46,46,Kim Dae-jung,0.36476865,0.36476865,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,51,0.08334431052207947
52,Kim Dae-jung,46,46,Kim Dae-jung,0.46118715,0.46118715,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,52,0.01116412878036499
53,Lleyton Hewitt,51,51,Lleyton Hewitt,0.34892365,0.34892365,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,53,0.08389988541603088
54,Lleyton Hewitt,51,51,Lleyton Hewitt,0.4288537,0.4288537,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,54,0.04953885078430176
55,Lleyton Hewitt,51,51,Lleyton Hewitt,0.5012143,0.5012143,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,55,-0.03148332238197327
56,Lleyton Hewitt,51,51,Lleyton Hewitt,0.5343349,0.5343349,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,56,0.0250968337059021
57,Lleyton Hewitt,51,51,Lleyton Hewitt,0.36197475,0.36197475,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,57,-0.029904097318649292
58,Lleyton Hewitt,51,51,Lleyton Hewitt,0.62468827,0.62468827,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,58,0.02232271432876587
59,Lleyton Hewitt,51,51,Lleyton Hewitt,0.41105765,0.41105765,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,59,0.033955663442611694
60,Lleyton Hewitt,51,51,Lleyton Hewitt,0.37595624,0.37595624,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,60,0.01586359739303589
61,Ben Affleck,4,4,Ben Affleck,0.38802063,0.38802063,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,61,0.01185387372970581
62,Ben Affleck,4,4,Ben Affleck,0.32480302,0.32480302,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,62,-0.023321866989135742
63,Ben Affleck,4,4,Ben Affleck,0.5113157,0.5113157,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,63,-0.018716931343078613
64,Ben Affleck,4,4,Ben Affleck,0.4285043,0.4285043,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,64,0.04284173250198364
65,Ben Affleck,4,4,Ben Affleck,0.3017903,0.3017903,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,forehead,0.3,34,65,0.0034034252166748047
