probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.5025969,0.5025969,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,0,0.10138565301895142
1,Abdullah Gul,0,0,Abdullah Gul,0.44282675,0.44282675,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,1,0.12056082487106323
2,Abdullah Gul,0,0,Abdullah Gul,0.47402945,0.47402945,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,2,0.12149038910865784
3,Abdullah Gul,0,0,Abdullah Gul,0.47971046,0.47971046,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,3,0.09995114803314209
4,Abdullah Gul,0,0,Abdullah Gul,0.27947345,0.27947345,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,4,0.27769234776496887
5,Abdullah Gul,0,0,Abdullah Gul,0.38494813,0.38494813,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,5,-0.0010630488395690918
6,Abdullah Gul,0,0,Abdullah Gul,0.37096784,0.37096784,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,6,0.08829465508460999
7,Abdullah Gul,0,0,Abdullah Gul,0.4140737,0.4140737,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,7,0.10478144884109497
8,Ciro Gomes,15,15,Ciro Gomes,0.3671209,0.3671209,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,8,0.18794700503349304
9,Ciro Gomes,15,93,Victoria Clarke,0.18935746,0.1075171,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,9,0.4454822763800621
