step,location,patch_size_ratio,patch_size_px,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
0,right_cheek,0.3,34,0.17334073781967163,0.17334073781967163,0.487077921628952,-0.2837305963039398,0.0,0.25372400879859924,0.13504044711589813,0.487077921628952,0.2837305963039398,0.17186251282691956,0.31521540880203247,0.625,0.0,8.464444545097649e-05
10,right_cheek,0.3,34,0.12242113053798676,0.12242113053798676,0.457744300365448,-0.28102248907089233,0.0,0.22672180831432343,0.23999029397964478,0.457744300365448,0.28102248907089233,0.16708137094974518,0.2906629145145416,0.53125,0.0,4.8325822717742994e-05
20,right_cheek,0.3,34,0.14940039813518524,0.14940039813518524,0.47567957639694214,-0.284294992685318,0.0,0.2423108071088791,0.28976598381996155,0.47567957639694214,0.284294992685318,0.17241251468658447,0.30326709151268005,0.5625,0.0,4.760957745020278e-05
30,right_cheek,0.3,34,0.13377752900123596,0.13377752900123596,0.4605684280395508,-0.2795338034629822,0.0,0.23227670788764954,0.326150119304657,0.4605684280395508,0.2795338034629822,0.1669863611459732,0.29358208179473877,0.4375,0.0,3.732931145350449e-05
40,right_cheek,0.3,34,0.1051647812128067,0.1051647812128067,0.4541042745113373,-0.28507354855537415,0.0,0.2212076038122177,0.351071834564209,0.4541042745113373,0.28507354855537415,0.1764535754919052,0.27765071392059326,0.59375,0.03125,4.647171954275109e-05
50,right_cheek,0.3,34,0.1675373613834381,0.1675373613834381,0.4779955744743347,-0.2794845998287201,0.0,0.24851098656654358,0.3766942024230957,0.4779955744743347,0.2794845998287201,0.16139066219329834,0.3166049122810364,0.46875,0.0,4.607329174177721e-05
60,right_cheek,0.3,34,0.1820456087589264,0.1820456087589264,0.48530805110931396,-0.28025758266448975,0.0,0.2572527229785919,0.40057945251464844,0.48530805110931396,0.28025758266448975,0.16448429226875305,0.3208237886428833,0.46875,0.0,4.624848588719033e-05
70,right_cheek,0.3,34,0.12036377191543579,0.12036377191543579,0.45732754468917847,-0.28143996000289917,0.0,0.22591614723205566,0.42899632453918457,0.45732754468917847,0.28143996000289917,0.17101117968559265,0.2863163352012634,0.625,0.0,4.8164230975089595e-05
80,right_cheek,0.3,34,0.21819287538528442,0.21819287538528442,0.5097973942756653,-0.2838006317615509,0.0,0.27599674463272095,0.44723886251449585,0.5097973942756653,0.2838006317615509,0.1770622879266739,0.3327350914478302,0.65625,0.0,9.607127140043303e-05
90,right_cheek,0.3,34,0.24734210968017578,0.24734210968017578,0.5206295847892761,-0.2813057005405426,0.0,0.28932392597198486,0.4575679302215576,0.5206295847892761,0.2813057005405426,0.17151495814323425,0.34911465644836426,0.53125,0.0,5.001701720175333e-05
100,right_cheek,0.3,34,0.11896213889122009,0.11896213889122009,0.46187084913253784,-0.28500470519065857,0.0,0.2271007001399994,0.46777498722076416,0.46187084913253784,0.28500470519065857,0.17387525737285614,0.2879956066608429,0.65625,0.0,6.207867409102619e-05
110,right_cheek,0.3,34,0.1781063973903656,0.1781063973903656,0.48518267273902893,-0.2810913920402527,0.0,0.25510650873184204,0.48140671849250793,0.48518267273902893,0.2810913920402527,0.16778554022312164,0.3173971474170685,0.4375,0.0,5.504032378667034e-05
120,right_cheek,0.3,34,0.08482246100902557,0.08482246100902557,0.44111132621765137,-0.282936692237854,0.0,0.20958451926708221,0.49115824699401855,0.44111132621765137,0.282936692237854,0.17096202075481415,0.2701493203639984,0.5625,0.0,5.904163117520511e-05
130,right_cheek,0.3,34,0.16247108578681946,0.16247108578681946,0.47028180956840515,-0.27800750732421875,0.0,0.2482042908668518,0.5012783408164978,0.47028180956840515,0.27800750732421875,0.16527685523033142,0.30500495433807373,0.40625,0.03125,5.541514838114381e-05
140,right_cheek,0.3,34,0.1056273877620697,0.1056273877620697,0.4514792561531067,-0.28252333402633667,0.0,0.21919479966163635,0.5073784589767456,0.4514792561531067,0.28252333402633667,0.17305858433246613,0.27842065691947937,0.53125,0.0,7.096225454006344e-05
150,right_cheek,0.3,34,0.21989226341247559,0.21989226341247559,0.5026504993438721,-0.27846959233283997,0.0,0.27418094873428345,0.507485032081604,0.5026504993438721,0.27846959233283997,0.1652628630399704,0.33738768100738525,0.5,0.0,0.00010507401020731777
160,right_cheek,0.3,34,0.1864171326160431,0.1864171326160431,0.48434844613075256,-0.2774266004562378,0.0,0.2569218873977661,0.5069160461425781,0.48434844613075256,0.2774266004562378,0.1649439036846161,0.31940457224845886,0.5,0.0,0.00010286910401191562
170,right_cheek,0.3,34,0.05567246675491333,0.05567246675491333,0.423858642578125,-0.2822193503379822,0.0,0.19625252485275269,0.5074294805526733,0.423858642578125,0.2822193503379822,0.1749192476272583,0.2489393949508667,0.53125,0.0625,8.413167233811691e-05
180,right_cheek,0.3,34,0.01141422986984253,0.01141422986984253,0.39865416288375854,-0.28355756402015686,0.0,0.1798751950263977,0.5124310851097107,0.39865416288375854,0.28355756402015686,0.1770143210887909,0.22163981199264526,0.71875,0.125,0.00010310803190805018
190,right_cheek,0.3,34,0.06007656455039978,0.06007656455039978,0.4161299467086792,-0.2745758295059204,0.0,0.1930982768535614,0.5196818113327026,0.4161299467086792,0.2745758295059204,0.15359815955162048,0.26253175735473633,0.375,0.0,7.844698120607063e-05
200,right_cheek,0.3,34,-0.009340822696685791,-0.009340822696685791,0.3932378888130188,-0.28342294692993164,0.0,0.1642671823501587,0.5223380923271179,0.3932378888130188,0.28342294692993164,0.1733415126800537,0.2198963612318039,0.53125,0.03125,8.946897287387401e-05
210,right_cheek,0.3,34,0.009089261293411255,0.009089261293411255,0.4036776125431061,-0.2840143144130707,0.0,0.17344027757644653,0.5250399112701416,0.4036776125431061,0.2840143144130707,0.180422842502594,0.22325477004051208,0.6875,0.03125,0.00012268609134480357
220,right_cheek,0.3,34,0.05947168171405792,0.05947168171405792,0.41992759704589844,-0.2792140245437622,0.0,0.1979721337556839,0.5297656059265137,0.41992759704589844,0.2792140245437622,0.17147725820541382,0.248450368642807,0.53125,0.0625,9.840295388130471e-05
230,right_cheek,0.3,34,0.0971403568983078,0.0971403568983078,0.44604387879371643,-0.28248703479766846,0.0,0.21607054769992828,0.5319613218307495,0.44604387879371643,0.28248703479766846,0.17142151296138763,0.27462238073349,0.46875,0.03125,0.00011409584840293974
240,right_cheek,0.3,34,0.16020333766937256,0.16020333766937256,0.47171738743782043,-0.27850139141082764,0.0,0.2454887330532074,0.5333739519119263,0.47171738743782043,0.27850139141082764,0.16805244982242584,0.3036649525165558,0.46875,0.0,0.00014587993791792542
250,right_cheek,0.3,34,0.052222222089767456,0.052222222089767456,0.41458436846733093,-0.2775244116783142,0.0,0.19268667697906494,0.5368961095809937,0.41458436846733093,0.2775244116783142,0.1663406491279602,0.24824371933937073,0.4375,0.0625,9.264644177164882e-05
