step,location,patch_size_ratio,patch_size_px,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
0,right_under_eye,0.3,34,0.16288761794567108,0.16288761794567108,0.4846363067626953,-0.2854616641998291,0.0,0.24917463958263397,0.13504044711589813,0.4846363067626953,0.2854616641998291,0.1825253665447235,0.3021109104156494,0.65625,0.0,0.00010357846622355282
10,right_under_eye,0.3,34,0.09502950310707092,0.09502950310707092,0.4516853392124176,-0.2866244316101074,0.0,0.21659302711486816,0.2421451210975647,0.4516853392124176,0.2866244316101074,0.17685188353061676,0.27483344078063965,0.65625,0.0,6.91460445523262e-05
20,right_under_eye,0.3,34,0.17596811056137085,0.17596811056137085,0.4907302260398865,-0.28516411781311035,0.0,0.2555661201477051,0.30328404903411865,0.4907302260398865,0.28516411781311035,0.18082749843597412,0.30990272760391235,0.75,0.0,5.941784547758289e-05
30,right_under_eye,0.3,34,0.1677350401878357,0.1677350401878357,0.4839819073677063,-0.28340959548950195,0.0,0.2505723237991333,0.34967249631881714,0.4839819073677063,0.28340959548950195,0.17475350201129913,0.30922842025756836,0.75,0.0,7.458735490217805e-05
40,right_under_eye,0.3,34,0.10006402432918549,0.10006402432918549,0.45983996987342834,-0.2898719608783722,0.0,0.21996797621250153,0.3815158009529114,0.45983996987342834,0.2898719608783722,0.18723680078983307,0.2726031541824341,0.71875,0.0,6.99536976753734e-05
50,right_under_eye,0.3,34,0.11387825012207031,0.11387825012207031,0.4600526988506317,-0.2857229709625244,0.0,0.22527149319648743,0.40862613916397095,0.4600526988506317,0.2857229709625244,0.1744236797094345,0.2856290340423584,0.53125,0.0,6.505136843770742e-05
60,right_under_eye,0.3,34,0.06850525736808777,0.06850525736808777,0.437375545501709,-0.28638917207717896,0.0,0.2039080560207367,0.43490415811538696,0.437375545501709,0.28638917207717896,0.18044917285442352,0.2569263279438019,0.6875,0.03125,6.952371040824801e-05
70,right_under_eye,0.3,34,0.10560920834541321,0.10560920834541321,0.45153409242630005,-0.2830071449279785,0.0,0.2200894057750702,0.45894116163253784,0.45153409242630005,0.2830071449279785,0.16396573185920715,0.2875683903694153,0.5,0.0,5.6207762099802494e-05
80,right_under_eye,0.3,34,0.1911049783229828,0.1911049783229828,0.48815789818763733,-0.27898991107940674,0.0,0.26092690229415894,0.47853490710258484,0.48815789818763733,0.27898991107940674,0.1641440987586975,0.32401376962661743,0.5,0.0,6.218296766746789e-05
90,right_under_eye,0.3,34,0.13909733295440674,0.13909733295440674,0.469536691904068,-0.28430700302124023,0.0,0.2381746470928192,0.4944923222064972,0.469536691904068,0.28430700302124023,0.17801034450531006,0.29152634739875793,0.65625,0.03125,7.173288031481206e-05
100,right_under_eye,0.3,34,0.03249801695346832,0.03249801695346832,0.4186789393424988,-0.2849532961845398,0.0,0.18372566998004913,0.5101171731948853,0.4186789393424988,0.2849532961845398,0.1750771850347519,0.24360178411006927,0.625,0.0,6.527100777020678e-05
110,right_under_eye,0.3,34,0.05371028184890747,0.05371028184890747,0.43185877799987793,-0.2869800925254822,0.0,0.1958116888999939,0.5249611139297485,0.43185877799987793,0.2869800925254822,0.18401837348937988,0.24784041941165924,0.75,0.0,5.7312194257974625e-05
120,right_under_eye,0.3,34,0.14758189022541046,0.14758189022541046,0.4831704795360565,-0.2896410822868347,0.0,0.24369357526302338,0.5341933369636536,0.4831704795360565,0.2896410822868347,0.18332435190677643,0.2998461127281189,0.6875,0.0,7.201247353805229e-05
130,right_under_eye,0.3,34,0.06880852580070496,0.06880852580070496,0.43436405062675476,-0.2838175296783447,0.0,0.20207953453063965,0.5418930053710938,0.43436405062675476,0.2838175296783447,0.17213207483291626,0.2622319459915161,0.59375,0.03125,7.012916466919705e-05
