probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.5634606,0.5634606,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,0,0.040521979331970215
1,Abdullah Gul,0,0,Abdullah Gul,0.5669291,0.5669291,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,1,-0.0035415291786193848
2,Abdullah Gul,0,0,Abdullah Gul,0.53703487,0.53703487,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,2,0.05848497152328491
3,Abdullah Gul,0,0,Abdullah Gul,0.5336307,0.5336307,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,3,0.04603087902069092
4,Abdullah Gul,0,0,Abdullah Gul,0.5293428,0.5293428,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,4,0.027823030948638916
5,Abdullah Gul,0,0,Abdullah Gul,0.3859735,0.3859735,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,5,-0.0020884275436401367
6,Abdullah Gul,0,0,Abdullah Gul,0.36275315,0.36275315,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,6,0.09650933742523193
7,Abdullah Gul,0,0,Abdullah Gul,0.46636346,0.46636346,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,7,0.052491694688797
8,Ciro Gomes,15,15,Ciro Gomes,0.4399295,0.4399295,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,8,0.11513841152191162
9,Ciro Gomes,15,15,Ciro Gomes,0.4807607,0.4807607,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,9,0.07223868370056152
10,Ciro Gomes,15,15,Ciro Gomes,0.5911863,0.5911863,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,10,0.0835416316986084
11,Ciro Gomes,15,15,Ciro Gomes,0.36933133,0.36933133,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,11,0.18751397728919983
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5261472,0.5261472,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,12,0.08132928609848022
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5055711,0.5055711,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,13,-0.007554173469543457
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5403942,0.5403942,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,14,0.07403624057769775
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5059711,0.5059711,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,15,0.08664214611053467
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5226984,0.5226984,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,16,0.18991506099700928
17,Roger Moore,76,76,Roger Moore,0.49095762,0.49095762,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,17,0.09361648559570312
18,Roger Moore,76,76,Roger Moore,0.44438002,0.44438002,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,18,0.09753146767616272
19,Roger Moore,76,76,Roger Moore,0.462564,0.462564,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,19,0.020925462245941162
20,Roger Moore,76,76,Roger Moore,0.5963648,0.5963648,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,20,-0.018656611442565918
21,Edmund Stoiber,21,21,Edmund Stoiber,0.32124972,0.32124972,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,21,0.05595755577087402
22,Edmund Stoiber,21,21,Edmund Stoiber,0.370856,0.370856,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,22,0.03298035264015198
23,Edmund Stoiber,21,21,Edmund Stoiber,0.42142195,0.42142195,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,23,0.05933299660682678
24,Edmund Stoiber,21,21,Edmund Stoiber,0.40095925,0.40095925,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,24,-0.005685925483703613
25,Edmund Stoiber,21,21,Edmund Stoiber,0.44024116,0.44024116,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,25,0.04738616943359375
26,Edmund Stoiber,21,21,Edmund Stoiber,0.37947118,0.37947118,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,26,-0.01743936538696289
27,Edmund Stoiber,21,21,Edmund Stoiber,0.28637642,0.28637642,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,27,-0.0942080169916153
28,Edmund Stoiber,21,92,Tung Chee-hwa,0.18970512,0.16285098,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,28,0.1234748363494873
29,Carmen Electra,12,12,Carmen Electra,0.2450951,0.2450951,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,29,0.1331312358379364
30,Carmen Electra,12,12,Carmen Electra,0.5194544,0.5194544,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,30,0.12439370155334473
31,Carmen Electra,12,12,Carmen Electra,0.2779853,0.2779853,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,31,0.2567695081233978
32,Carmen Electra,12,12,Carmen Electra,0.45542437,0.45542437,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,32,0.0797465443611145
33,Carmen Electra,12,12,Carmen Electra,0.5945817,0.5945817,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,33,0.09962880611419678
34,Tung Chee-hwa,92,92,Tung Chee-hwa,0.4831742,0.4831742,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,34,-0.06618940830230713
