step,location,patch_size_ratio,patch_size_px,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
0,right_cheek,0.2,22,0.12203626334667206,0.12203626334667206,0.4604122042655945,-0.28326353430747986,0.0,0.2281511276960373,0.16333052515983582,0.4604122042655945,0.28326353430747986,0.17379140853881836,0.2866207957267761,0.53125,0.0,7.898048352217302e-05
10,right_cheek,0.2,22,0.18726298213005066,0.18726298213005066,0.4917948544025421,-0.2821089029312134,0.0,0.2596859335899353,0.24031364917755127,0.4917948544025421,0.2821089029312134,0.1690332293510437,0.3227616548538208,0.6875,0.0,4.324590554460883e-05
20,right_cheek,0.2,22,0.33186089992523193,0.33186089992523193,0.564728856086731,-0.28277912735939026,0.0,0.3326902985572815,0.28509825468063354,0.564728856086731,0.28277912735939026,0.16791394352912903,0.39681488275527954,0.53125,0.0,4.44888137280941e-05
30,right_cheek,0.2,22,0.19492864608764648,0.19492864608764648,0.4887562394142151,-0.2780224680900574,0.0,0.26221734285354614,0.3134048581123352,0.4887562394142151,0.2780224680900574,0.16951827704906464,0.31923797726631165,0.59375,0.0,4.1111514292424545e-05
40,right_cheek,0.2,22,0.13588003814220428,0.13588003814220428,0.4711759686470032,-0.28549063205718994,0.0,0.235685333609581,0.3418945372104645,0.4711759686470032,0.28549063205718994,0.17596259713172913,0.29521334171295166,0.65625,0.0,4.253346560290083e-05
50,right_cheek,0.2,22,0.25806188583374023,0.25806188583374023,0.5256590843200684,-0.28108543157577515,0.0,0.29457366466522217,0.36712124943733215,0.5256590843200684,0.28108543157577515,0.17266541719436646,0.3529936969280243,0.65625,0.0,4.421075209393166e-05
60,right_cheek,0.2,22,0.15768206119537354,0.15768206119537354,0.4795626103878021,-0.28390830755233765,0.0,0.2459360659122467,0.38266175985336304,0.4795626103878021,0.28390830755233765,0.17023669183254242,0.3093259334564209,0.5625,0.0,3.866981569444761e-05
70,right_cheek,0.2,22,0.16445201635360718,0.16445201635360718,0.47943010926246643,-0.2814966142177582,0.0,0.2480151355266571,0.39279741048812866,0.47943010926246643,0.2814966142177582,0.16901910305023193,0.3104110360145569,0.53125,0.0,3.8735877751605585e-05
80,right_cheek,0.2,22,0.19955506920814514,0.19955506920814514,0.49730387330055237,-0.2816842198371887,0.0,0.2656196355819702,0.40066006779670715,0.49730387330055237,0.2816842198371887,0.17069414258003235,0.32660970091819763,0.53125,0.0,3.896560883731581e-05
90,right_cheek,0.2,22,0.17401403188705444,0.17401403188705444,0.48569607734680176,-0.2824593782424927,0.0,0.25323671102523804,0.41939544677734375,0.48569607734680176,0.2824593782424927,0.16507552564144135,0.3206205666065216,0.5625,0.0,5.3046584071125835e-05
100,right_cheek,0.2,22,0.20783746242523193,0.20783746242523193,0.5081456899642944,-0.28615128993988037,0.0,0.27199435234069824,0.42741382122039795,0.5081456899642944,0.28615128993988037,0.1745235025882721,0.33362215757369995,0.59375,0.0,4.2277442844351754e-05
110,right_cheek,0.2,22,0.1285911500453949,0.1285911500453949,0.45853763818740845,-0.2795727550983429,0.0,0.22919902205467224,0.4352237582206726,0.45853763818740845,0.2795727550983429,0.1683342158794403,0.29020342230796814,0.53125,0.0,4.9309506721328944e-05
120,right_cheek,0.2,22,0.14461109042167664,0.14461109042167664,0.47060123085975647,-0.28244200348854065,0.0,0.23889386653900146,0.4441998600959778,0.47060123085975647,0.28244200348854065,0.1688496470451355,0.30175158381462097,0.59375,0.0,5.000991222914308e-05
130,right_cheek,0.2,22,0.12902480363845825,0.12902480363845825,0.4689246416091919,-0.28659090399742126,0.0,0.2332819700241089,0.450997531414032,0.4689246416091919,0.28659090399742126,0.17347076535224915,0.29545384645462036,0.625,0.0,4.550490848487243e-05
140,right_cheek,0.2,22,0.163596510887146,0.163596510887146,0.48474210500717163,-0.2856082022190094,0.0,0.25007081031799316,0.45771336555480957,0.48474210500717163,0.2856082022190094,0.17443852126598358,0.31030359864234924,0.53125,0.0,4.304796675569378e-05
150,right_cheek,0.2,22,0.286202996969223,0.286202996969223,0.5330997109413147,-0.27666547894477844,0.0,0.3064342439174652,0.46594083309173584,0.5330997109413147,0.27666547894477844,0.16603852808475494,0.36706119775772095,0.53125,0.0,5.207400681683794e-05
160,right_cheek,0.2,22,0.1675853729248047,0.1675853729248047,0.4866030216217041,-0.2852068841457367,0.0,0.251396119594574,0.4776746332645416,0.4866030216217041,0.2852068841457367,0.17232277989387512,0.314280241727829,0.5625,0.0,4.41323863924481e-05
170,right_cheek,0.2,22,0.21873736381530762,0.21873736381530762,0.5041725635528564,-0.2798692584037781,0.0,0.2743033170700073,0.4803004860877991,0.5041725635528564,0.2798692584037781,0.1639629304409027,0.34020960330963135,0.46875,0.0,6.586873496416956e-05
180,right_cheek,0.2,22,0.1526893526315689,0.1526893526315689,0.4858090281486511,-0.28964290022850037,0.0,0.24616612493991852,0.4930053949356079,0.4858090281486511,0.28964290022850037,0.18277359008789062,0.3030354380607605,0.71875,0.0,6.14287710050121e-05
190,right_cheek,0.2,22,0.16275249421596527,0.16275249421596527,0.4830653667449951,-0.28476524353027344,0.0,0.24921761453151703,0.5124636888504028,0.4830653667449951,0.28476524353027344,0.17376917600631714,0.3092961609363556,0.5625,0.0,7.35459107090719e-05
200,right_cheek,0.2,22,0.2680014967918396,0.2680014967918396,0.5295642614364624,-0.2803756594657898,0.0,0.2991885542869568,0.5297240018844604,0.5295642614364624,0.2803756594657898,0.16537605226039886,0.36418816447257996,0.53125,0.0,7.151399768190458e-05
210,right_cheek,0.2,22,0.17770656943321228,0.17770656943321228,0.4874369204044342,-0.2823891043663025,0.0,0.25504785776138306,0.5409178733825684,0.4874369204044342,0.2823891043663025,0.16563233733177185,0.32180461287498474,0.59375,0.0,6.289852899499238e-05
220,right_cheek,0.2,22,0.17365577816963196,0.17365577816963196,0.4846283197402954,-0.28246521949768066,0.0,0.2539578974246979,0.5513418912887573,0.4846283197402954,0.28246521949768066,0.16734778881072998,0.31728047132492065,0.53125,0.0,7.826451474102214e-05
230,right_cheek,0.2,22,0.15234234929084778,0.15234234929084778,0.47078824043273926,-0.2797447144985199,0.0,0.24104353785514832,0.5660825967788696,0.47078824043273926,0.2797447144985199,0.167350172996521,0.30343806743621826,0.5625,0.0,5.0061811634805053e-05
240,right_cheek,0.2,22,0.18767768144607544,0.18767768144607544,0.49663639068603516,-0.28605493903160095,0.0,0.2631511688232422,0.5753644704818726,0.49663639068603516,0.28605493903160095,0.18037813901901245,0.3162582516670227,0.625,0.0,6.392275827238336e-05
250,right_cheek,0.2,22,0.14515426754951477,0.14515426754951477,0.46705490350723267,-0.27965185046195984,0.0,0.23740306496620178,0.5828559398651123,0.46705490350723267,0.27965185046195984,0.17313438653945923,0.29392051696777344,0.53125,0.0,8.717246964806691e-05
260,right_cheek,0.2,22,0.14891479909420013,0.14891479909420013,0.47287893295288086,-0.28252333402633667,0.0,0.24108253419399261,0.5877141952514648,0.47287893295288086,0.28252333402633667,0.1672392636537552,0.30563968420028687,0.53125,0.0,5.80359592277091e-05
270,right_cheek,0.2,22,0.2237531840801239,0.2237531840801239,0.5079960823059082,-0.2811146378517151,0.0,0.2779863774776459,0.5893072485923767,0.5079960823059082,0.2811146378517151,0.1694941371679306,0.3385019600391388,0.53125,0.0,5.265330401016399e-05
