step,location,patch_size_ratio,patch_size_px,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
0,right_under_eye,0.2,22,0.21401146054267883,0.21401146054267883,0.5106249451637268,-0.28574615716934204,0.0,0.2748788297176361,0.16333052515983582,0.5106249451637268,0.28574615716934204,0.17941604554653168,0.33120888471603394,0.65625,0.0,0.00011513213394209743
10,right_under_eye,0.2,22,0.15243008732795715,0.15243008732795715,0.47847121953964233,-0.2848374545574188,0.0,0.24363377690315247,0.26157498359680176,0.47847121953964233,0.2848374545574188,0.17374545335769653,0.3047257661819458,0.625,0.0,9.20881939237006e-05
20,right_under_eye,0.2,22,0.21751487255096436,0.21751487255096436,0.5016117095947266,-0.2785695195198059,0.0,0.2730422019958496,0.326861709356308,0.5016117095947266,0.2785695195198059,0.16605114936828613,0.33556056022644043,0.5,0.0,7.600070239277557e-05
30,right_under_eye,0.2,22,0.2240278124809265,0.2240278124809265,0.5105180740356445,-0.28233611583709717,0.0,0.2781819701194763,0.3914766311645508,0.5105180740356445,0.28233611583709717,0.17596149444580078,0.33455657958984375,0.65625,0.0,0.00011082134005846456
40,right_under_eye,0.2,22,0.1859174370765686,0.1859174370765686,0.49946171045303345,-0.28822243213653564,0.0,0.26290059089660645,0.43248218297958374,0.49946171045303345,0.28822243213653564,0.1874927580356598,0.31196898221969604,0.71875,0.0,6.471111555583775e-05
50,right_under_eye,0.2,22,0.1569385826587677,0.1569385826587677,0.48027464747428894,-0.28490906953811646,0.0,0.24648207426071167,0.468686580657959,0.48027464747428894,0.28490906953811646,0.18332558870315552,0.2969490885734558,0.78125,0.03125,8.885037823347375e-05
60,right_under_eye,0.2,22,0.15030044317245483,0.15030044317245483,0.4792703688144684,-0.28608009219169617,0.0,0.24319025874137878,0.49606287479400635,0.4792703688144684,0.28608009219169617,0.1726853996515274,0.3065849542617798,0.6875,0.0,8.12113648862578e-05
70,right_under_eye,0.2,22,0.13061507046222687,0.13061507046222687,0.47242292761802673,-0.2880769371986389,0.0,0.23434601724147797,0.516402542591095,0.47242292761802673,0.2880769371986389,0.17613524198532104,0.2962876856327057,0.5625,0.0,8.303364302264526e-05
80,right_under_eye,0.2,22,0.150407612323761,0.150407612323761,0.4716204106807709,-0.281473845243454,0.0,0.24173489212989807,0.5303694009780884,0.4716204106807709,0.281473845243454,0.17089439928531647,0.3007259964942932,0.5625,0.03125,0.00011199840082554147
90,right_under_eye,0.2,22,0.11641830205917358,0.11641830205917358,0.4611509442329407,-0.2852945327758789,0.0,0.22585642337799072,0.5455529689788818,0.4611509442329407,0.2852945327758789,0.17486190795898438,0.2862890362739563,0.65625,0.0,8.611526573076844e-05
100,right_under_eye,0.2,22,0.15252290666103363,0.15252290666103363,0.4784339368343353,-0.2848697900772095,0.0,0.24382854998111725,0.5548285245895386,0.4784339368343353,0.2848697900772095,0.17194290459156036,0.30649101734161377,0.46875,0.0,7.737246778560802e-05
110,right_under_eye,0.2,22,0.17246994376182556,0.17246994376182556,0.4854097068309784,-0.2827831506729126,0.0,0.25262653827667236,0.5674784183502197,0.4854097068309784,0.2827831506729126,0.16639754176139832,0.3190121352672577,0.5625,0.0,0.0001043103911797516
120,right_under_eye,0.2,22,0.1157606840133667,0.1157606840133667,0.4624190330505371,-0.2873533368110657,0.0,0.22804832458496094,0.5770916938781738,0.4624190330505371,0.2873533368110657,0.18116290867328644,0.28125613927841187,0.625,0.0,0.00012480093573685735
