probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.60870135,0.60870135,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,0,-0.004718780517578125
1,Abdullah Gul,0,0,Abdullah Gul,0.5730879,0.5730879,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,1,-0.009700298309326172
2,Abdullah Gul,0,0,Abdullah Gul,0.595129,0.595129,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,2,0.00039082765579223633
3,Abdullah Gul,0,0,Abdullah Gul,0.55503,0.55503,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,3,0.024631619453430176
4,Abdullah Gul,0,0,Abdullah Gul,0.5518835,0.5518835,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,4,0.005282282829284668
5,Abdullah Gul,0,0,Abdullah Gul,0.38574827,0.38574827,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,5,-0.0018631815910339355
6,Abdullah Gul,0,0,Abdullah Gul,0.4751997,0.4751997,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,6,-0.015937209129333496
7,Abdullah Gul,0,0,Abdullah Gul,0.50746083,0.50746083,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,7,0.011394321918487549
8,Ciro Gomes,15,15,Ciro Gomes,0.53687614,0.53687614,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,8,0.018191754817962646
9,Ciro Gomes,15,15,Ciro Gomes,0.53738856,0.53738856,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,9,0.015610814094543457
10,Ciro Gomes,15,15,Ciro Gomes,0.6509248,0.6509248,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,10,0.023803114891052246
11,Ciro Gomes,15,15,Ciro Gomes,0.5396525,0.5396525,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,11,0.0171927809715271
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6147059,0.6147059,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,12,-0.007229447364807129
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.49303496,0.49303496,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,13,0.00498199462890625
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.62495863,0.62495863,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,14,-0.010528206825256348
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.57753277,0.57753277,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,15,0.015080451965332031
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.69620085,0.69620085,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,16,0.01641261577606201
17,Roger Moore,76,76,Roger Moore,0.5861711,0.5861711,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,17,-0.001596987247467041
18,Roger Moore,76,76,Roger Moore,0.5362051,0.5362051,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,18,0.005706369876861572
19,Roger Moore,76,76,Roger Moore,0.48638034,0.48638034,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,19,-0.0028908848762512207
20,Roger Moore,76,76,Roger Moore,0.56577134,0.56577134,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,20,0.011936843395233154
21,Edmund Stoiber,21,21,Edmund Stoiber,0.37535864,0.37535864,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,21,0.0018486380577087402
22,Edmund Stoiber,21,21,Edmund Stoiber,0.3912171,0.3912171,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,22,0.012619227170944214
23,Edmund Stoiber,21,21,Edmund Stoiber,0.4884712,0.4884712,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,23,-0.007716268301010132
24,Edmund Stoiber,21,21,Edmund Stoiber,0.39538777,0.39538777,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,24,-0.00011444091796875
25,Edmund Stoiber,21,21,Edmund Stoiber,0.47938254,0.47938254,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,25,0.00824478268623352
26,Edmund Stoiber,21,21,Edmund Stoiber,0.36955833,0.36955833,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,26,-0.007526516914367676
27,Edmund Stoiber,21,21,Edmund Stoiber,0.2143468,0.2143468,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,27,-0.022178396582603455
28,Edmund Stoiber,21,21,Edmund Stoiber,0.29381844,0.29381844,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,28,-0.007492631673812866
29,Carmen Electra,12,12,Carmen Electra,0.37478852,0.37478852,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,29,0.003437817096710205
30,Carmen Electra,12,12,Carmen Electra,0.6332476,0.6332476,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,30,0.010600507259368896
31,Carmen Electra,12,12,Carmen Electra,0.50517046,0.50517046,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,31,0.02958434820175171
32,Carmen Electra,12,12,Carmen Electra,0.5046551,0.5046551,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,32,0.03051578998565674
33,Carmen Electra,12,12,Carmen Electra,0.70067036,0.70067036,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,33,-0.006459832191467285
34,Tung Chee-hwa,92,92,Tung Chee-hwa,0.41121593,0.41121593,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,34,0.005768865346908569
35,Tung Chee-hwa,92,92,Tung Chee-hwa,0.59255457,0.59255457,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,35,0.013109326362609863
36,Tung Chee-hwa,92,92,Tung Chee-hwa,0.5069573,0.5069573,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,36,0.0121726393699646
37,Tung Chee-hwa,92,92,Tung Chee-hwa,0.64149344,0.64149344,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,37,-0.005629777908325195
38,Tung Chee-hwa,92,92,Tung Chee-hwa,0.49379218,0.49379218,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,38,-0.006221562623977661
39,Tung Chee-hwa,92,92,Tung Chee-hwa,0.4476132,0.4476132,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,39,0.0212191641330719
40,Tung Chee-hwa,92,92,Tung Chee-hwa,0.35735482,0.35735482,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,40,-0.026024281978607178
41,Tung Chee-hwa,92,92,Tung Chee-hwa,0.47280282,0.47280282,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,41,0.0039885640144348145
42,Woody Allen,96,96,Woody Allen,0.6080023,0.6080023,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,42,0.037981510162353516
43,Woody Allen,96,96,Woody Allen,0.5856734,0.5856734,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,43,0.012470245361328125
44,Woody Allen,96,96,Woody Allen,0.31162515,0.31162515,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,44,0.003621131181716919
45,Woody Allen,96,96,Woody Allen,0.3740186,0.3740186,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,45,0.0034106671810150146
46,Kim Dae-jung,46,46,Kim Dae-jung,0.60954624,0.60954624,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,46,-0.001482844352722168
47,Kim Dae-jung,46,46,Kim Dae-jung,0.37768555,0.37768555,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,47,-0.003120511770248413
48,Kim Dae-jung,46,46,Kim Dae-jung,0.6311135,0.6311135,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,48,0.005836009979248047
49,Kim Dae-jung,46,46,Kim Dae-jung,0.56873703,0.56873703,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,49,-0.006713151931762695
50,Kim Dae-jung,46,46,Kim Dae-jung,0.55766034,0.55766034,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,50,0.0022574663162231445
51,Kim Dae-jung,46,46,Kim Dae-jung,0.4428633,0.4428633,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,51,0.005249679088592529
52,Kim Dae-jung,46,46,Kim Dae-jung,0.46058083,0.46058083,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,52,0.011770457029342651
53,Lleyton Hewitt,51,51,Lleyton Hewitt,0.41335928,0.41335928,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,53,0.01946425437927246
54,Lleyton Hewitt,51,51,Lleyton Hewitt,0.4421322,0.4421322,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,54,0.03626033663749695
55,Lleyton Hewitt,51,51,Lleyton Hewitt,0.46844625,0.46844625,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,55,0.0012847483158111572
56,Lleyton Hewitt,51,51,Lleyton Hewitt,0.5575671,0.5575671,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,56,0.001864612102508545
57,Lleyton Hewitt,51,51,Lleyton Hewitt,0.33323044,0.33323044,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,57,-0.0011597871780395508
