probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.55944604,0.55944604,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,0,0.0445365309715271
1,Abdullah Gul,0,0,Abdullah Gul,0.49646962,0.49646962,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,1,0.06691795587539673
2,Abdullah Gul,0,0,Abdullah Gul,0.50012195,0.50012195,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,2,0.09539788961410522
3,Abdullah Gul,0,0,Abdullah Gul,0.54399264,0.54399264,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,3,0.03566896915435791
4,Abdullah Gul,0,0,Abdullah Gul,0.51836467,0.51836467,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,4,0.03880113363265991
5,Abdullah Gul,0,0,Abdullah Gul,0.38742894,0.38742894,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,5,-0.003543853759765625
6,Abdullah Gul,0,0,Abdullah Gul,0.33619535,0.33619535,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,6,0.12306714057922363
7,Abdullah Gul,0,0,Abdullah Gul,0.47726995,0.47726995,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,7,0.04158520698547363
8,Ciro Gomes,15,15,Ciro Gomes,0.45798215,0.45798215,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,8,0.09708574414253235
9,Ciro Gomes,15,15,Ciro Gomes,0.45807633,0.45807633,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,9,0.09492304921150208
10,Ciro Gomes,15,15,Ciro Gomes,0.4969908,0.4969908,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,10,0.17773711681365967
11,Ciro Gomes,15,15,Ciro Gomes,0.3846771,0.3846771,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,11,0.17216819524765015
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.4830047,0.4830047,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,12,0.12447178363800049
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.48349753,0.48349753,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,13,0.014519423246383667
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.45818216,0.45818216,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,14,0.1562482714653015
