probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.5734054,0.5734054,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,0,0.03057718276977539
1,Abdullah Gul,0,0,Abdullah Gul,0.5705544,0.5705544,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,1,-0.007166802883148193
2,Abdullah Gul,0,0,Abdullah Gul,0.500377,0.500377,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,2,0.09514284133911133
3,Abdullah Gul,0,0,Abdullah Gul,0.544145,0.544145,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,3,0.03551661968231201
4,Abdullah Gul,0,0,Abdullah Gul,0.52755576,0.52755576,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,4,0.029610037803649902
5,Abdullah Gul,0,0,Abdullah Gul,0.40195647,0.40195647,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,5,-0.018071383237838745
6,Abdullah Gul,0,0,Abdullah Gul,0.34020066,0.34020066,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,6,0.11906182765960693
7,Abdullah Gul,0,0,Abdullah Gul,0.46585494,0.46585494,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,7,0.05300021171569824
8,Ciro Gomes,15,15,Ciro Gomes,0.4272227,0.4272227,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,8,0.12784519791603088
9,Ciro Gomes,15,15,Ciro Gomes,0.5028827,0.5028827,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,9,0.050116658210754395
10,Ciro Gomes,15,15,Ciro Gomes,0.5339818,0.5339818,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,10,0.1407461166381836
11,Ciro Gomes,15,15,Ciro Gomes,0.33626157,0.33626157,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,11,0.2205837368965149
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.53338224,0.53338224,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,12,0.07409423589706421
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.47348323,0.47348323,True,True,True,False,False,False,adaface_ir101_wf12m,mascot_preserving_constrained_patch,landmark_relative,nose_bridge,0.35,39,13,0.024533718824386597
