step,location,patch_size_ratio,patch_size_px,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
0,nose_bridge,0.35,39,0.11251595616340637,0.11251595616340637,0.45534637570381165,-0.2833113372325897,0.0,0.22379225492477417,0.12696920335292816,0.45534637570381165,0.2833113372325897,0.16530156135559082,0.2900448143482208,0.53125,0.0,0.00015187414828687906
10,nose_bridge,0.35,39,0.09983387589454651,0.09983387589454651,0.45331165194511414,-0.28559648990631104,0.0,0.21771520376205444,0.2390592396259308,0.45331165194511414,0.28559648990631104,0.17949296534061432,0.2738186717033386,0.625,0.0,0.00010679632396204397
20,nose_bridge,0.35,39,0.0606379359960556,0.0606379359960556,0.4249371290206909,-0.28078073263168335,0.0,0.19726227223873138,0.2956705093383789,0.4249371290206909,0.28078073263168335,0.16862496733665466,0.25631213188171387,0.5,0.03125,0.00010127734276466072
30,nose_bridge,0.35,39,0.059839457273483276,0.059839457273483276,0.4276176989078522,-0.2823914587497711,0.0,0.19700467586517334,0.3371216058731079,0.4276176989078522,0.2823914587497711,0.17192617058753967,0.2556914985179901,0.5625,0.03125,0.00012615096056833863
40,nose_bridge,0.35,39,-0.021549612283706665,-0.021549612283706665,0.38913601636886597,-0.28420326113700867,0.0,0.1577208936214447,0.3705144226551056,0.38913601636886597,0.28420326113700867,0.1748289167881012,0.21430709958076477,0.6875,0.0,0.00011205978080397472
50,nose_bridge,0.35,39,-0.01586538553237915,-0.01586538553237915,0.39247357845306396,-0.28421086072921753,0.0,0.16008275747299194,0.3941406011581421,0.39247357845306396,0.28421086072921753,0.1734730750322342,0.21900051832199097,0.625,0.0,0.00012684518878813833
60,nose_bridge,0.35,39,-0.0642799437046051,-0.0642799437046051,0.37873321771621704,-0.2941650152206421,0.0,0.14531686902046204,0.41691142320632935,0.37873321771621704,0.2941650152206421,0.19272276759147644,0.1860104501247406,0.78125,0.09375,0.00018652410653885454
70,nose_bridge,0.35,39,-0.12060122191905975,-0.12060122191905975,0.33448517322540283,-0.28524890542030334,0.0,0.1154114156961441,0.4434363842010498,0.33448517322540283,0.28524890542030334,0.1695643961429596,0.16492076218128204,0.5625,0.125,0.00012614605657290667
80,nose_bridge,0.35,39,-0.17332081496715546,-0.17332081496715546,0.3150970935821533,-0.2898356318473816,0.0,0.0912533551454544,0.4591102600097656,0.3150970935821533,0.2898356318473816,0.18477129936218262,0.1303258240222931,0.75,0.09375,0.0001297121198149398
90,nose_bridge,0.35,39,-0.21000002324581146,-0.21000002324581146,0.2854732573032379,-0.2891337275505066,0.0,0.0827941745519638,0.4702810049057007,0.2854732573032379,0.2891337275505066,0.18376034498214722,0.1017129048705101,0.71875,0.3125,0.00013088226842228323
100,nose_bridge,0.35,39,-0.22061379253864288,-0.22061379253864288,0.29160553216934204,-0.2937812805175781,0.0,0.07534323632717133,0.4786016047000885,0.29160553216934204,0.2937812805175781,0.18997657299041748,0.10162894427776337,0.71875,0.21875,0.0001499917561886832
110,nose_bridge,0.35,39,-0.25378865003585815,-0.25378865003585815,0.26242443919181824,-0.29015517234802246,0.0,0.06409727036952972,0.48505812883377075,0.26242443919181824,0.29015517234802246,0.18650633096694946,0.07591809332370758,0.75,0.28125,0.00015829702897462994
120,nose_bridge,0.35,39,-0.26092612743377686,-0.26092612743377686,0.25110578536987305,-0.28670352697372437,0.0,0.061375148594379425,0.49177634716033936,0.25110578536987305,0.28670352697372437,0.17920246720314026,0.07190333306789398,0.75,0.375,0.00011714077845681459
130,nose_bridge,0.35,39,-0.25570836663246155,-0.25570836663246155,0.2649317979812622,-0.29185837507247925,0.0,0.06307659298181534,0.49520811438560486,0.2649317979812622,0.29185837507247925,0.19188192486763,0.0730498880147934,0.6875,0.25,0.0001396344305248931
140,nose_bridge,0.35,39,-0.18681436777114868,-0.18681436777114868,0.3009446859359741,-0.2933043837547302,0.0,0.09884972125291824,0.49795177578926086,0.3009446859359741,0.2933043837547302,0.19261939823627472,0.1083252876996994,0.6875,0.28125,0.00013320957077667117
150,nose_bridge,0.35,39,-0.2263326346874237,-0.2263326346874237,0.28015297651290894,-0.2897730767726898,0.0,0.073060542345047,0.5004248023033142,0.28015297651290894,0.2897730767726898,0.19034558534622192,0.08980739116668701,0.71875,0.21875,0.00021788101003039628
160,nose_bridge,0.35,39,-0.30064401030540466,-0.30064401030540466,0.23437662422657013,-0.2927332818508148,0.0,0.050445932894945145,0.5019831657409668,0.23437662422657013,0.2927332818508148,0.18774230778217316,0.046634308993816376,0.6875,0.40625,0.00016996603517327458
170,nose_bridge,0.35,39,-0.29965218901634216,-0.29965218901634216,0.23498214781284332,-0.29312530159950256,0.0,0.051616281270980835,0.5037111043930054,0.23498214781284332,0.29312530159950256,0.19246453046798706,0.04251761734485626,0.6875,0.375,0.00019144931866321713
180,nose_bridge,0.35,39,-0.21298834681510925,-0.21298834681510925,0.2861291766166687,-0.2923392653465271,0.0,0.08556101471185684,0.5053229928016663,0.2861291766166687,0.2923392653465271,0.19676443934440613,0.08936475217342377,0.75,0.25,0.00012250231520738453
190,nose_bridge,0.35,39,-0.26791054010391235,-0.26791054010391235,0.24702881276607513,-0.2905070185661316,0.0,0.0660746768116951,0.5084323287010193,0.24702881276607513,0.2905070185661316,0.18336784839630127,0.06366096436977386,0.625,0.34375,0.0001141321990871802
200,nose_bridge,0.35,39,-0.23549441993236542,-0.23549441993236542,0.2644842267036438,-0.2891385853290558,0.0,0.07829852402210236,0.5131909847259521,0.2644842267036438,0.2891385853290558,0.18507544696331024,0.07940876483917236,0.59375,0.375,0.0001327111094724387
210,nose_bridge,0.35,39,-0.2568684220314026,-0.2568684220314026,0.2529560327529907,-0.2903941869735718,0.0,0.07096392661333084,0.5166410207748413,0.2529560327529907,0.2903941869735718,0.18649369478225708,0.06646235287189484,0.75,0.34375,0.00012824514124076813
220,nose_bridge,0.35,39,-0.2379189431667328,-0.2379189431667328,0.276725709438324,-0.29419365525245667,0.0,0.07374265789985657,0.5198262929916382,0.276725709438324,0.29419365525245667,0.1852823793888092,0.09144334495067596,0.65625,0.3125,0.00014146027388051152
230,nose_bridge,0.35,39,-0.2914779782295227,-0.2914779782295227,0.2389921396970749,-0.29530054330825806,0.0,0.060130950063467026,0.5219788551330566,0.2389921396970749,0.29530054330825806,0.1987423300743103,0.04024980217218399,0.78125,0.375,0.00015193253057077527
240,nose_bridge,0.35,39,-0.24801237881183624,-0.24801237881183624,0.25958818197250366,-0.29378265142440796,0.0,0.07996474206447601,0.5226989984512329,0.25958818197250366,0.29378265142440796,0.19445395469665527,0.06513423472642899,0.84375,0.5,0.00016281560237985104
250,nose_bridge,0.35,39,-0.3133676052093506,-0.3133676052093506,0.21941769123077393,-0.2873149812221527,0.0,0.04184466600418091,0.5235394835472107,0.21941769123077393,0.2873149812221527,0.1759791076183319,0.043438591063022614,0.46875,0.34375,0.00011904982238775119
260,nose_bridge,0.35,39,-0.2845035195350647,-0.2845035195350647,0.2363320291042328,-0.29203444719314575,0.0,0.06323336064815521,0.5238566398620605,0.2363320291042328,0.29203444719314575,0.1977432370185852,0.03858880698680878,0.75,0.4375,0.00015354616334661841
270,nose_bridge,0.35,39,-0.3320757746696472,-0.3320757746696472,0.21036028861999512,-0.2960418462753296,0.0,0.04964762181043625,0.5245381593704224,0.21036028861999512,0.2960418462753296,0.20102964341640472,0.009330646134912968,0.84375,0.5,0.0001522307429695502
280,nose_bridge,0.35,39,-0.2671298682689667,-0.2671298682689667,0.2581658959388733,-0.2957656979560852,0.0,0.06623563170433044,0.5249305963516235,0.2581658959388733,0.2957656979560852,0.19901646673679352,0.05914943665266037,0.84375,0.375,0.00018388713942840695
290,nose_bridge,0.35,39,-0.2752681374549866,-0.2752681374549866,0.2446971833705902,-0.2893717885017395,0.0,0.058778271079063416,0.5271966457366943,0.2446971833705902,0.2893717885017395,0.18061798810958862,0.06407921016216278,0.71875,0.3125,0.00011914759670617059
300,nose_bridge,0.35,39,-0.15488970279693604,-0.15488970279693604,0.3084651827812195,-0.2837173342704773,0.0,0.10407978296279907,0.5287030339241028,0.3084651827812195,0.2837173342704773,0.1801525056362152,0.12831269204616547,0.625,0.125,0.00014154022210277617
310,nose_bridge,0.35,39,-0.2986707389354706,-0.2986707389354706,0.23927778005599976,-0.29530200362205505,0.0,0.05265549570322037,0.529112696647644,0.23927778005599976,0.29530200362205505,0.19911828637123108,0.040159471333026886,0.8125,0.4375,0.00014703581109642982
320,nose_bridge,0.35,39,-0.2589631676673889,-0.2589631676673889,0.23922064900398254,-0.2891194820404053,0.0,0.0800551325082779,0.5312113761901855,0.23922064900398254,0.2891194820404053,0.1800115555524826,0.05920909345149994,0.71875,0.40625,0.0001499744685133919
330,nose_bridge,0.35,39,-0.31667548418045044,-0.31667548418045044,0.2124575674533844,-0.2926415205001831,0.0,0.056149981915950775,0.531143069267273,0.2124575674533844,0.2926415205001831,0.19514229893684387,0.01731528341770172,0.84375,0.5,0.0001294866087846458
340,nose_bridge,0.35,39,-0.3074953258037567,-0.3074953258037567,0.2266121506690979,-0.29177746176719666,0.0,0.049447447061538696,0.5320444107055664,0.2266121506690979,0.29177746176719666,0.18636628985404968,0.04024588689208031,0.75,0.375,0.0001240874407812953
350,nose_bridge,0.35,39,-0.19349226355552673,-0.19349226355552673,0.2856302857398987,-0.2921407222747803,0.0,0.10515889525413513,0.5302865505218506,0.2856302857398987,0.2921407222747803,0.19975802302360535,0.08587229251861572,0.9375,0.34375,0.0001304054749198258
360,nose_bridge,0.35,39,-0.34445902705192566,-0.34445902705192566,0.20262649655342102,-0.2923254072666168,0.0,0.03756529092788696,0.5323891639709473,0.20262649655342102,0.2923254072666168,0.1973935216665268,0.005232957657426596,0.84375,0.40625,0.00015226109826471657
370,nose_bridge,0.35,39,-0.28929728269577026,-0.28929728269577026,0.2263529896736145,-0.28525033593177795,0.0,0.05485041067004204,0.5308904647827148,0.2263529896736145,0.28525033593177795,0.17565147578716278,0.050701506435871124,0.625,0.5,0.00011416043707868084
380,nose_bridge,0.35,39,-0.3350854218006134,-0.3350854218006134,0.20701035857200623,-0.29129189252853394,0.0,0.04048799350857735,0.5305460095405579,0.20701035857200623,0.29129189252853394,0.18832410871982574,0.01868625171482563,0.78125,0.4375,0.00013112180749885738
390,nose_bridge,0.35,39,-0.21036697924137115,-0.21036697924137115,0.2905730605125427,-0.2898011803627014,0.0,0.07866232097148895,0.5315260887145996,0.2905730605125427,0.2898011803627014,0.18902665376663208,0.10154637694358826,0.71875,0.25,0.00014914055645931512
400,nose_bridge,0.35,39,-0.32737627625465393,-0.32737627625465393,0.2073417454957962,-0.2885168194770813,0.0,0.04231564328074455,0.5307732820510864,0.2073417454957962,0.2885168194770813,0.17645718157291412,0.030884554609656334,0.625,0.4375,0.00010713401570683345
410,nose_bridge,0.35,39,-0.3274753987789154,-0.3274753987789154,0.20247036218643188,-0.28531405329704285,0.0,0.040682338178157806,0.5295836925506592,0.20247036218643188,0.28531405329704285,0.18008306622505188,0.022387273609638214,0.75,0.46875,0.00014372590521816164
420,nose_bridge,0.35,39,-0.2506435513496399,-0.2506435513496399,0.2496630847454071,-0.2891094386577606,0.0,0.07791224867105484,0.5297044515609741,0.2496630847454071,0.2891094386577606,0.19159574806690216,0.05806734785437584,0.71875,0.375,0.00014205572369974107
430,nose_bridge,0.35,39,-0.29435762763023376,-0.29435762763023376,0.24878454208374023,-0.29900527000427246,0.0,0.05486837774515152,0.5274949073791504,0.24878454208374023,0.29900527000427246,0.20315590500831604,0.04562864452600479,0.75,0.40625,0.0001528256107121706
440,nose_bridge,0.35,39,-0.3088606595993042,-0.3088606595993042,0.22158481180667877,-0.29069584608078003,0.0,0.05094623938202858,0.5260698795318604,0.22158481180667877,0.29069584608078003,0.18936389684677124,0.03222091868519783,0.78125,0.46875,0.00017715277499519289
450,nose_bridge,0.35,39,-0.2983490228652954,-0.2983490228652954,0.23338182270526886,-0.2957996428012848,0.0,0.059868454933166504,0.5256654024124146,0.23338182270526886,0.2957996428012848,0.1975308358669281,0.035850971937179565,0.875,0.4375,0.00013542371743824333
460,nose_bridge,0.35,39,-0.2534213662147522,-0.2534213662147522,0.2531989812850952,-0.29276242852211,0.0,0.07890452444553375,0.5255711078643799,0.2531989812850952,0.29276242852211,0.1904131919145584,0.06278577446937561,0.78125,0.4375,0.00013931130524724722
470,nose_bridge,0.35,39,-0.2934401035308838,-0.2934401035308838,0.226176917552948,-0.2919672429561615,0.0,0.0643174797296524,0.5237860679626465,0.226176917552948,0.2919672429561615,0.19642013311386108,0.029756776988506317,0.78125,0.4375,0.00019258966494817287
480,nose_bridge,0.35,39,-0.2640467882156372,-0.2640467882156372,0.24301746487617493,-0.28864914178848267,0.0,0.070234015583992,0.5218909978866577,0.24301746487617493,0.28864914178848267,0.17808561027050018,0.06493183970451355,0.75,0.40625,0.00012976113066542894
490,nose_bridge,0.35,39,-0.3045696020126343,-0.3045696020126343,0.2250489592552185,-0.29021722078323364,0.0,0.05081586539745331,0.5210636854171753,0.2250489592552185,0.29021722078323364,0.18692809343338013,0.03812085837125778,0.75,0.5,0.0001372739061480388
500,nose_bridge,0.35,39,-0.32982608675956726,-0.32982608675956726,0.2033623456954956,-0.28639084100723267,0.0,0.03959323838353157,0.5200680494308472,0.2033623456954956,0.28639084100723267,0.17984545230865479,0.023516898974776268,0.75,0.375,0.00012698452337644994
510,nose_bridge,0.35,39,-0.31259894371032715,-0.31259894371032715,0.2105826437473297,-0.28701552748680115,0.0,0.05084947496652603,0.5208068490028381,0.2105826437473297,0.28701552748680115,0.18267716467380524,0.027905471622943878,0.65625,0.46875,0.00015035326941870153
520,nose_bridge,0.35,39,-0.3146618604660034,-0.3146618604660034,0.22024279832839966,-0.2903670072555542,0.0,0.04582934081554413,0.5209836959838867,0.22024279832839966,0.2903670072555542,0.1900213360786438,0.030221441760659218,0.78125,0.40625,0.00013815842976327986
530,nose_bridge,0.35,39,-0.27858400344848633,-0.27858400344848633,0.23721368610858917,-0.2903875708580017,0.0,0.06497746706008911,0.5218355655670166,0.23721368610858917,0.2903875708580017,0.1902444064617157,0.04696928709745407,0.8125,0.4375,0.00011613221431616694
540,nose_bridge,0.35,39,-0.3024351894855499,-0.3024351894855499,0.23586171865463257,-0.2966081202030182,0.0,0.05491934344172478,0.5218622088432312,0.23586171865463257,0.2966081202030182,0.1973508894443512,0.038510821759700775,0.8125,0.46875,0.00014686945360153913
