probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.48032343,0.48032343,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,0,0.12365913391113281
1,Abdullah Gul,0,0,Abdullah Gul,0.3820551,0.3820551,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,1,0.18133246898651123
2,Abdullah Gul,0,0,Abdullah Gul,0.3960392,0.3960392,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,2,0.19948065280914307
3,Abdullah Gul,0,0,Abdullah Gul,0.48822153,0.48822153,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,3,0.09144008159637451
4,Abdullah Gul,0,0,Abdullah Gul,0.29195908,0.29195908,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,4,0.2652067244052887
5,Abdullah Gul,0,0,Abdullah Gul,0.4043727,0.4043727,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,5,-0.020487606525421143
6,Abdullah Gul,0,0,Abdullah Gul,0.3613391,0.3613391,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,6,0.0979233980178833
7,Abdullah Gul,0,0,Abdullah Gul,0.40127796,0.40127796,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,7,0.1175771951675415
8,Ciro Gomes,15,15,Ciro Gomes,0.3450944,0.3450944,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,8,0.20997348427772522
9,Ciro Gomes,15,0,Abdullah Gul,0.19740552,0.07112928,False,True,False,False,True,True,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,9,0.481870099902153
10,Ciro Gomes,15,93,Victoria Clarke,0.22542384,0.1384267,False,True,False,False,True,True,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,10,0.5363012105226517
11,Ciro Gomes,15,15,Ciro Gomes,0.32495224,0.32495224,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,11,0.23189306259155273
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.21236023,0.21236023,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,12,0.39511623978614807
13,Ricardo Sanchez,72,37,Joe Lieberman,0.17540532,0.15515584,False,True,False,False,True,True,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,13,0.3428611159324646
14,Ricardo Sanchez,72,52,Madonna,0.221243,0.032092456,False,True,False,False,True,True,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,14,0.5823379717767239
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.4010629,0.4010629,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,15,0.19155031442642212
16,Ricardo Sanchez,72,52,Madonna,0.17592624,0.023299383,False,True,False,False,True,True,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,16,0.6893140804022551
17,Roger Moore,76,76,Roger Moore,0.23881114,0.23881114,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,17,0.3457629680633545
18,Roger Moore,76,76,Roger Moore,0.35829383,0.35829383,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,18,0.18361765146255493
19,Roger Moore,76,14,Chanda Rubin,0.2410692,0.012923755,False,True,False,False,True,True,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,19,0.47056569904088974
20,Roger Moore,76,76,Roger Moore,0.26126352,0.26126352,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,20,0.31644466519355774
21,Edmund Stoiber,21,14,Chanda Rubin,0.22762728,0.10294539,False,True,False,False,True,True,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,21,0.2742618918418884
22,Edmund Stoiber,21,21,Edmund Stoiber,0.40927443,0.40927443,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,22,-0.005438089370727539
23,Edmund Stoiber,21,21,Edmund Stoiber,0.2021828,0.2021828,True,True,True,False,False,False,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,23,0.278572142124176
24,Edmund Stoiber,21,52,Madonna,0.19838437,0.11096905,False,True,False,False,True,True,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,24,0.28430427610874176
25,Edmund Stoiber,21,93,Victoria Clarke,0.24538532,0.20329969,False,True,False,False,True,True,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,25,0.2843276411294937
26,Edmund Stoiber,21,52,Madonna,0.1952982,0.114546224,False,True,False,False,True,True,adaface_ir101_wf12m,free_form_adversarial_patch,landmark_relative,nose_bridge,0.35,39,26,0.24748559296131134
